Date,Open,High,Low,Close,Adj Close,Volume
1995-10-03,18.75,19.875,18.5,19.625,13.09765625,10364800
1995-10-04,19.5,19.625,18.75,18.75,12.513683319091797,1810800
1995-10-05,19.125,19.5,19.0,19.375,12.930811882019043,1216500
1995-10-06,19.625,19.875,19.375,19.875,13.264505386352539,1538100
1995-10-09,19.875,19.875,19.375,19.375,12.930811882019043,869200
1995-10-10,19.375,19.5,19.0,19.25,12.847383499145508,840800
1995-10-11,19.375,19.5,19.25,19.375,12.930811882019043,630400
1995-10-12,19.375,19.5,19.125,19.375,12.930811882019043,519700
1995-10-13,19.5,20.0,19.5,20.0,13.34793758392334,557300
1995-10-16,20.125,20.125,19.625,19.75,13.181093215942383,188700
1995-10-17,19.75,19.875,19.625,19.75,13.181093215942383,244600
1995-10-18,19.625,19.75,19.5,19.625,13.09765625,152500
1995-10-19,19.5,19.625,19.5,19.625,13.09765625,180400
1995-10-20,19.625,19.75,19.375,19.5,13.01423454284668,298900
1995-10-23,19.25,19.375,19.125,19.25,12.847383499145508,731100
1995-10-24,19.375,19.375,19.0,19.0,12.680541038513184,670500
1995-10-25,19.125,19.25,19.0,19.0,12.680541038513184,749900
1995-10-26,19.125,19.125,19.0,19.0,12.680541038513184,810900
1995-10-27,19.0,19.25,19.0,19.25,12.847383499145508,460500
1995-10-30,19.375,19.375,19.25,19.25,12.847383499145508,76200
1995-10-31,20.75,20.75,19.875,20.375,13.598210334777832,2034100
1995-11-01,20.25,20.5,20.0,20.375,13.598210334777832,398600
1995-11-02,20.375,20.5,20.375,20.5,13.681629180908203,221200
1995-11-03,20.5,20.875,20.375,20.75,13.84848403930664,306800
1995-11-06,20.625,21.25,20.625,20.625,13.76505184173584,137200
1995-11-07,20.625,20.625,20.375,20.625,13.76505184173584,566300
1995-11-08,20.5,20.875,20.5,20.75,13.84848403930664,264700
1995-11-09,20.625,20.75,20.625,20.75,13.84848403930664,70700
1995-11-10,20.625,20.625,20.375,20.375,13.598210334777832,190500
1995-11-13,20.375,20.625,20.375,20.5,13.681629180908203,135900
1995-11-14,20.625,20.75,20.5,20.625,13.76505184173584,206900
1995-11-15,20.5,20.625,20.25,20.5,13.681629180908203,615500
1995-11-16,20.75,21.0,20.375,20.375,13.618134498596191,381400
1995-11-17,20.5,20.875,20.375,20.625,13.785226821899414,178000
1995-11-20,20.75,21.375,20.5,20.5,13.701674461364746,377000
1995-11-21,20.625,20.75,20.5,20.75,13.868778228759766,391400
1995-11-22,20.5,20.875,20.5,20.875,13.952324867248535,92600
1995-11-24,20.875,20.875,20.75,20.875,13.952324867248535,7900
1995-11-27,20.75,21.125,20.625,20.75,13.868778228759766,455000
1995-11-28,21.0,21.0,20.75,20.75,13.868778228759766,130200
1995-11-29,20.75,20.875,20.75,20.75,13.868778228759766,59500
1995-11-30,20.625,21.0,20.625,20.875,13.952324867248535,180100
1995-12-01,21.0,21.25,20.875,21.25,14.202961921691895,94400
1995-12-04,21.25,21.25,21.0,21.0,14.035871505737305,228600
1995-12-05,21.0,21.125,20.875,21.125,14.119416236877441,251400
1995-12-06,21.25,21.25,21.0,21.0,14.035871505737305,109900
1995-12-07,21.25,21.625,21.25,21.375,14.286518096923828,171800
1995-12-08,21.125,21.375,21.0,21.25,14.202961921691895,224000
1995-12-11,21.25,21.75,21.25,21.5,14.370061874389648,123800
1995-12-12,21.5,21.625,21.25,21.5,14.370061874389648,192100
1995-12-13,21.5,21.875,21.375,21.625,14.453605651855469,81800
1995-12-14,21.875,22.375,21.875,21.875,14.620694160461426,251200
1995-12-15,22.0,22.5,22.0,22.25,14.871334075927734,220800
1995-12-18,22.125,22.125,21.875,22.125,14.787790298461914,320900
1995-12-19,22.0,23.0,21.875,23.0,15.372617721557617,361400
1995-12-20,23.25,23.375,22.375,22.375,14.954885482788086,168300
1995-12-21,22.375,23.0,22.375,22.875,15.289074897766113,90300
1995-12-22,23.0,23.0,22.625,22.875,15.289074897766113,104500
1995-12-26,22.625,23.0,22.625,23.0,15.372617721557617,109100
1995-12-27,23.0,23.0,22.75,22.875,15.289074897766113,108400
1995-12-28,23.0,23.0,22.625,22.625,15.121986389160156,74100
