date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-09,753.19,757.4,750.57,754.88,754.880005,464246,455790,1.69,0.22438,753.86,"May 09, 23",0.0022438
2023-05-08,761.93,761.93,746.14,752.12,752.119995,539865,539900,-9.81,-1.29,750.23,"May 08, 23",-0.0129
2023-05-05,753.88,768.5939,744.89,762.1,762.099976,637014,637000,8.22,1.09,760.05,"May 05, 23",0.0109
2023-05-04,775.54,776.5799,746.13,753.88,753.880005,1229124,1229000,-21.66,-2.79,759.1,"May 04, 23",-0.0279
2023-05-03,804.79,812.99,798.805,803.17,803.169983,786031,786000,-1.62,-0.20129,806.53,"May 03, 23",-0.0020129
2023-05-02,806.72,815.24,796.52,798.45,798.450012,610760,610700,-8.27,-1.03,802.24,"May 02, 23",-0.0103
2023-05-01,803.71,811.5499,802.12,806.72,806.719971,297529,297500,3.01,0.37451,807.44,"May 01, 23",0.0037451
2023-04-28,788.99,806.08,788,801.79,801.789978,470436,470400,12.8,1.62,800.91,"April 28, 23",0.0162
2023-04-27,775.33,796.42,774.06,792.29,792.289978,749469,749300,16.96,2.19,787.82,"April 27, 23",0.0219
2023-04-26,781.77,784.77,771.14,778,778,585718,585600,-3.77,-0.48224,778.01,"April 26, 23",-0.0048224
2023-04-25,797.27,801.82,784.84,789.58,789.580017,467995,468000,-7.69,-0.96454,790.28,"April 25, 23",-0.0096454
2023-04-24,800.43,806.19,795.125,797.04,797.039978,374840,374800,-3.39,-0.42352,799.34,"April 24, 23",-0.0042352
2023-04-21,798.42,804.72,797.255,800.73,800.72998,545530,545500,2.31,0.28932,800.67,"April 21, 23",0.0028932
2023-04-20,805.42,805.62,796.23,798.1,798.099976,495421,495400,-7.32,-0.90884,800.28,"April 20, 23",-0.0090884
2023-04-19,804.73,810.17,803.52,808.86,808.859985,352688,352700,4.13,0.51322,807.42,"April 19, 23",0.0051322
2023-04-18,822.17,823.375,804.1528,808.01,808.01001,499761,499700,-14.16,-1.72,808.67,"April 18, 23",-0.0172
2023-04-17,833.62,833.62,818.65,819.74,819.73999,351407,351400,-13.88,-1.67,821.78,"April 17, 23",-0.0167
2023-04-14,828.84,831.3331,821.88,829.33,829.330017,456864,456900,0.49,0.05911877,826.88,"April 14, 23",0.0005911877
2023-04-13,822.45,834.115,822.45,830.35,830.349976,471895,471900,7.9,0.96054,830.22,"April 13, 23",0.0096054
2023-04-12,824.96,827.795,816.89,820.43,820.429993,414242,414200,-4.53,-0.54912,822.1,"April 12, 23",-0.0054912
2023-04-11,822.94,825.6,817.44,819.64,819.640015,291392,291400,-3.3,-0.401,820.7,"April 11, 23",-0.00401
2023-04-10,824.37,826.07,815.82,823.76,823.76001,377082,377100,-0.61,-0.0739959,821.3,"April 10, 23",-0.000739959
2023-04-06,823.43,834,823.43,828.73,828.72998,549992,550000,5.3,0.64365,829.21,"April 06, 23",0.0064365
2023-04-05,824.7,837.55,823.86,825.22,825.219971,560037,560000,0.52,0.06305323,829.13,"April 05, 23",0.0006305323
2023-04-04,825.85,830.665,820.01,822.09,822.090027,397993,398000,-3.76,-0.45529,824.17,"April 04, 23",-0.0045529
2023-04-03,818.8,826.555,815.59,826.19,826.190002,451408,451400,7.39,0.90254,823.74,"April 03, 23",0.0090254
2023-03-31,814.9,822.52,810.945,821.67,821.669983,866170,866200,6.77,0.83078,818.67,"March 31, 23",0.0083078
2023-03-30,816.01,825.0832,804.64,811.5,811.5,625803,625800,-4.51,-0.55269,810.18,"March 30, 23",-0.0055269
2023-03-29,830,835,818.285,819.35,819.349976,459239,459200,-10.65,-1.28,822.13,"March 29, 23",-0.0128
2023-03-28,824,827.36,819.22,826.97,826.969971,362614,362500,2.97,0.36044,824.61,"March 28, 23",0.0036044
2023-03-27,821.38,832.48,817.8701,820.41,820.409973,802068,802000,-0.97,-0.11809,822.31,"March 27, 23",-0.0011809
2023-03-24,805.05,824,801.01,820,820,1129524,1129400,14.95,1.86,816.46,"March 24, 23",0.0186
2023-03-23,806.47,812.6949,790.49,802.16,802.159973,1993986,1994000,-4.31,-0.53443,801.94,"March 23, 23",-0.0053443
2023-03-22,760.3,764.39,751.01,751.3,751.299988,322818,322900,-9,-1.18,756.64,"March 22, 23",-0.0118
2023-03-21,764.65,765.01,751.98,759.76,759.76001,371967,372100,-4.89,-0.63951,759.16,"March 21, 23",-0.0063951
2023-03-20,748.66,760.33,745.79,759.25,759.25,587837,587800,10.59,1.41,756.41,"March 20, 23",0.0141
2023-03-17,749.92,754.32,743.95,747.65,747.650024,893629,892600,-2.27,-0.3027,748.35,"March 17, 23",-0.003027
