date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-01-23,105.04,106.89,104.4,106.21,106.21,6319587,6319443,1.17,1.114,105.83333,"January 23, 23",0.01114
2023-01-20,104.4,105.2,103.89,105.04,105.04,6543253,6542600,0.64,0.613,104.71,"January 20, 23",0.00613
2023-01-19,105,105.7,104.24,104.26,104.26,5115299,5115100,-0.74,-0.705,104.73333,"January 19, 23",-0.00705
2023-01-18,107.14,107.47,104.91,105,105,5722379,5722100,-2.14,-1.997,105.79333,"January 18, 23",-0.01997
2023-01-17,106.95,107.6,106.31,106.75,106.75,7477018,7476400,-0.2,-0.187,106.88667,"January 17, 23",-0.00187
2023-01-13,105.07,107.3,105.07,107.23,107.23,5527931,5527500,2.16,2.056,106.53333,"January 13, 23",0.02056
2023-01-12,106.29,106.44,105.17,105.85,105.85,4881427,4881100,-0.44,-0.414,105.82,"January 12, 23",-0.00414
2023-01-11,105.81,106.44,104.86,106.3,106.3,5632576,5632400,0.49,0.463,105.86667,"January 11, 23",0.00463
2023-01-10,104.36,106.43,104.17,106,106,4183481,4183200,1.64,1.571,105.53333,"January 10, 23",0.01571
2023-01-09,106.52,106.68,104.43,104.74,104.74,10125214,10124400,-1.78,-1.671,105.28333,"January 09, 23",-0.01671
2023-01-06,105.38,107,105.01,106.69,106.69,9642223,9641300,1.31,1.243,106.23333,"January 06, 23",0.01243
2023-01-05,104.49,105.1,103.49,104.43,104.43,5573628,5573500,-0.06,-0.057,104.34,"January 05, 23",-0.00057
2023-01-04,102.69,104.73,102.55,104.46,104.46,8139412,8139200,1.77,1.724,103.91333,"January 04, 23",0.01724
2023-01-03,100.56,101.17,99.47,100.83,100.83,6606335,6606000,0.27,0.268,100.49,"January 03, 23",0.00268
2022-12-30,99.19,99.25,98.24,99.2,99.2,3988187,3987800,0.01,0.01,98.89667,"December 30, 22",0.0001
2022-12-29,99,100.65,98.67,99.77,99.77,3974748,3974700,0.77,0.778,99.69667,"December 29, 22",0.00778
2022-12-28,99.41,99.91,98.39,98.6,98.6,3491362,3491100,-0.81,-0.815,98.96667,"December 28, 22",-0.00815
2022-12-27,98.57,99.46,98.21,99.2,99.2,4401284,4401100,0.63,0.639,98.95667,"December 27, 22",0.00639
2022-12-23,97.59,98.3,96.88,98.27,98.27,3944307,3944000,0.68,0.697,97.81667,"December 23, 22",0.00697
