date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-09,47.54,48.28,47.11,47.94,47.939999,11435961,11428911,0.4,0.8414,47.83,"May 09, 23",0.008414
2023-05-08,49.98,50.26,47.5,47.63,47.630001,19204697,19204700,-2.35,-4.7,48.2,"May 08, 23",-0.047
2023-05-05,49.1,50.28,48.57,49.24,49.240002,22019603,22007000,0.14,0.28513,49.42,"May 05, 23",0.0028513
2023-05-04,47.18,47.6,45.65,47.37,47.369999,26316221,26316200,0.19,0.40271,46.77,"May 04, 23",0.0040271
2023-05-03,50.38,50.59,47.75,48.03,48.029999,22505354,22505400,-2.35,-4.66,48.86,"May 03, 23",-0.0466
2023-05-02,51.6,51.7,49.05,50.1,50.099998,20934446,20934400,-1.5,-2.91,49.79,"May 02, 23",-0.0291
2023-05-01,52.11,53.08,51.395,51.81,51.810001,10640985,11041000,-0.3,-0.57571,52.03,"May 01, 23",-0.0057571
2023-04-28,51.16,52.43,50.7998,52.24,52.240002,12797330,12788300,1.08,2.11,52,"April 28, 23",0.0211
2023-04-27,50.73,52.3,50.355,51.73,51.73,12315873,12315900,1,1.97,51.55,"April 27, 23",0.0197
2023-04-26,50.52,51.27,50.3,50.6,50.599998,11422584,11422600,0.08,0.15835,50.77,"April 26, 23",0.0015835
2023-04-25,52.63,52.84,50.86,51.03,51.029999,17042878,17042900,-1.6,-3.04,51.45,"April 25, 23",-0.0304
2023-04-24,53.65,54.22,53.01,53.12,53.119999,13246071,13246100,-0.53,-0.98788,53.35,"April 24, 23",-0.0098788
2023-04-21,54.26,54.31,53.1,53.8,53.799999,17572812,17569000,-0.46,-0.84777,53.64,"April 21, 23",-0.0084777
2023-04-20,54.56,55.88,53.75,54,54,24735683,24735700,-0.56,-1.03,54.58,"April 20, 23",-0.0103
2023-04-19,54,56.27,53.99,55.55,55.549999,35415557,35415600,1.55,2.87,55.57,"April 19, 23",0.0287
2023-04-18,52.5,54.25,52.28,54,54,36872339,36872300,1.5,2.86,53.64,"April 18, 23",0.0286
2023-04-17,49.5,52.82,49,52.77,52.77,52377598,52377600,3.27,6.61,51.67,"April 17, 23",0.0661
2023-04-14,52.16,52.28,50.12,50.77,50.77,31641900,32056900,-1.39,-2.66,50.96,"April 14, 23",-0.0266
2023-04-13,51.62,51.945,51.3,51.49,51.490002,16165119,16165100,-0.13,-0.25184,51.65,"April 13, 23",-0.0025184
2023-04-12,52.07,52.78,51.265,51.92,51.919998,19174384,19174400,-0.15,-0.28807,51.96,"April 12, 23",-0.0028807
2023-04-11,51.55,52.285,51.23,51.71,51.709999,19861927,19861900,0.16,0.31038,51.86,"April 11, 23",0.0031038
2023-04-10,49.51,52.17,49.49,51.72,51.720001,31528543,31528500,2.21,4.46,51.3,"April 10, 23",0.0446
2023-04-06,48.8,49.74,48.571,49.35,49.349998,28108530,28155000,0.55,1.13,49.2,"April 06, 23",0.0113
2023-04-05,49.07,49.42,48.36,48.87,48.869999,37752986,37753000,-0.2,-0.40758,48.88,"April 05, 23",-0.0040758
2023-04-04,51.65,51.9392,49.89,50,50,29144525,29144500,-1.65,-3.19,50.52,"April 04, 23",-0.0319
2023-04-03,52.78,53.59,51.54,51.57,51.57,24883210,24883200,-1.21,-2.29,52.24,"April 03, 23",-0.0229
2023-03-31,52.45,52.6494,50.76,52.38,52.380001,43886081,43811400,-0.07,-0.13346,51.91,"March 31, 23",-0.0013346
