date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-09,74.32,74.875,74.03,74.69,74.690002,4205579,3584724,0.37,0.49785,74.58,"May 09, 23",0.0049785
2023-05-08,74.81,75.16,74.27,74.57,74.57,2971577,2971600,-0.24,-0.32081,74.71,"May 08, 23",-0.0032081
2023-05-05,73.78,74.96,73.66,74.94,74.940002,3945648,3945500,1.16,1.57,74.62,"May 05, 23",0.0157
2023-05-04,73.44,74.285,72.53,74.25,74.25,4305256,4305200,0.81,1.1,73.76,"May 04, 23",0.011
2023-05-03,73.6,74.19,73.185,73.33,73.330002,3240538,3240500,-0.27,-0.36685,73.54,"May 03, 23",-0.0036685
2023-05-02,74.25,74.36,73.085,73.15,73.150002,4180322,4180300,-1.1,-1.48,73.49,"May 02, 23",-0.0148
2023-05-01,73.5,74.555,73.33,74.09,74.089996,4044471,4044500,0.59,0.80272,74.1,"May 01, 23",0.0080272
2023-04-28,73.54,74.03,73.09,73.55,73.550003,4598816,4598700,0.01,0.01359804,73.57,"April 28, 23",0.0001359804
2023-04-27,72.8,73.62,72.62,73.51,73.510002,4126267,4126300,0.71,0.97527,73.26,"April 27, 23",0.0097527
2023-04-26,73.54,73.65,72.46,72.59,72.589996,3999069,3999000,-0.95,-1.29,72.81,"April 26, 23",-0.0129
2023-04-25,74.23,74.4619,73.76,73.98,73.980003,3337440,3337400,-0.25,-0.33679,74.08,"April 25, 23",-0.0033679
2023-04-24,73.66,74.15,73.225,74.1,74.099998,2617041,2616800,0.44,0.59734,73.92,"April 24, 23",0.0059734
2023-04-21,73.68,73.98,73.099,73.61,73.610001,3184839,3184300,-0.07,-0.09500543,73.56,"April 21, 23",-0.0009500543
2023-04-20,72.82,73.28,72.6102,73.02,73.019997,3696826,3696800,0.2,0.27465,72.94,"April 20, 23",0.0027465
2023-04-19,72.81,73.245,72.605,72.81,72.809998,2987096,2987100,0,0,72.83,"April 19, 23",0
2023-04-18,72.3,72.79,72.0847,72.58,72.580002,3267221,3267200,0.28,0.38728,72.48,"April 18, 23",0.0038728
2023-04-17,72.17,72.485,71.58,72.34,72.339996,2988258,2988200,0.17,0.23555,72.15,"April 17, 23",0.0023555
2023-04-14,71.97,72.33,71.68,71.94,71.940002,3349864,3349900,-0.03,-0.04168404,71.99,"April 14, 23",-0.0004168404
2023-04-13,71.84,72.49,70.9,72.46,72.459999,4190021,4190000,0.62,0.86303,72.07,"April 13, 23",0.0086303
2023-04-12,71.85,72.615,71.42,72.12,72.120003,3811395,3811400,0.27,0.37578,72.05,"April 12, 23",0.0037578
2023-04-11,72.02,72.14,71.39,71.83,71.830002,3239304,3239100,-0.19,-0.26382,71.84,"April 11, 23",-0.0026382
2023-04-10,71.89,72.05,71.14,72.04,72.040001,3175779,3175800,0.15,0.20865,71.82,"April 10, 23",0.0020865
2023-04-06,71.91,72.55,71.67,72.31,72.309998,4504829,4504800,0.4,0.55625,72.09,"April 06, 23",0.0055625
2023-04-05,70,71.67,69.77,71.5,71.5,4522182,4522100,1.5,2.14,71.18,"April 05, 23",0.0214
2023-04-04,69.13,69.66,68.72,69.63,69.629997,3067116,3067100,0.5,0.72327,69.42,"April 04, 23",0.0072327
2023-04-03,69.14,69.63,68.25,68.97,68.970001,4323535,4323500,-0.17,-0.24588,69.15,"April 03, 23",-0.0024588
2023-03-31,69.2,69.61,68.765,69.58,69.580002,5195229,5195200,0.38,0.54913,69.31,"March 31, 23",0.0054913
2023-03-30,69.42,69.755,68.847,69.06,69.059998,3997099,3997100,-0.36,-0.51858,69.21,"March 30, 23",-0.0051858
2023-03-29,68.64,69.58,68.64,69.34,69.339996,4229025,4229000,0.7,1.02,69.3,"March 29, 23",0.0102
2023-03-28,68.2,68.9632,68.02,68.39,68.389999,5636970,5637000,0.19,0.27859,68.46,"March 28, 23",0.0027859
2023-03-27,68.86,69.13,68.05,68.24,68.239998,4100435,4100400,-0.62,-0.90038,68.4,"March 27, 23",-0.0090038
2023-03-24,66.52,68.6,66.42,68.59,68.589996,4885361,4885300,2.07,3.11,67.89,"March 24, 23",0.0311
2023-03-23,66.71,67.42,66.06,66.34,66.339996,4542604,4542600,-0.37,-0.55464,66.68,"March 23, 23",-0.0055464
2023-03-22,66.98,68.18,66.7,66.71,66.709999,6618669,6618600,-0.27,-0.40311,67.13,"March 22, 23",-0.0040311
2023-03-21,68.45,68.61,66.23,67.13,67.129997,6030898,6030900,-1.32,-1.93,67.13,"March 21, 23",-0.0193
2023-03-20,68,70.42,67.92,68.55,68.550003,5773286,5773400,0.55,0.80882,68.48,"March 20, 23",0.0080882
2023-03-17,69,69.05,67.35,67.9,67.900002,10618937,10618900,-1.1,-1.59,68.14,"March 17, 23",-0.0159
2023-03-16,67.4,68.635,67.31,68.12,68.120003,6737720,6737200,0.72,1.07,67.93,"March 16, 23",0.0107
2023-03-15,66.04,68.03,65.83,67.65,67.650002,6256425,6256400,1.61,2.44,67.35,"March 15, 23",0.0244
2023-03-14,65.62,66.39,65.43,66.18,66.18,5092441,5092400,0.56,0.8534,65.9,"March 14, 23",0.008534
2023-03-13,63.79,66.78,63.79,65.15,65.150002,5202216,5202200,1.36,2.13,65.64,"March 13, 23",0.0213
2023-03-10,64.81,64.9,63.63,63.94,63.939999,3892567,3892300,-0.87,-1.34,64.16,"March 10, 23",-0.0134
2023-03-09,64.92,65.91,64.42,64.55,64.550003,3564944,3564800,-0.37,-0.56993,64.98,"March 09, 23",-0.0056993
2023-03-08,64.25,64.905,63.88,64.73,64.730003,3238940,3238900,0.48,0.74708,64.64,"March 08, 23",0.0074708
2023-03-07,65.12,65.59,64.035,64.33,64.330002,4115020,4115000,-0.79,-1.21,64.52,"March 07, 23",-0.0121
2023-03-06,64.71,65.34,64.65,65.23,65.230003,4832716,4832700,0.52,0.80359,65.03,"March 06, 23",0.0080359
2023-03-03,63.67,64.88,63.195,64.81,64.809998,4965652,4965500,1.14,1.79,64.4,"March 03, 23",0.0179
2023-03-02,62.45,63.7,62.25,63.67,63.669998,5766392,5766100,1.22,1.95,63.27,"March 02, 23",0.0195
2023-03-01,62.59,62.71,61.73,62.32,62.32,5572066,5571900,-0.27,-0.43138,62.19,"March 01, 23",-0.0043138
2023-02-28,64.13,64.42,63.02,63.06,63.060001,4751170,4751200,-1.07,-1.67,63.47,"February 28, 23",-0.0167
2023-02-27,64.76,65.58,64.21,64.37,64.370003,4840076,4839900,-0.39,-0.60222,64.68,"February 27, 23",-0.0060222
2023-02-24,64.17,64.65,63.71,64.56,64.559998,5468285,5468100,0.39,0.60776,64.25,"February 24, 23",0.0060776
2023-02-23,65.13,65.36,64.4,64.74,64.739998,7870905,7870800,-0.39,-0.5988,64.76,"February 23, 23",-0.005988
2023-02-22,65.48,66.205,65.03,65.24,65.239998,3523629,3523600,-0.24,-0.36652,65.52,"February 22, 23",-0.0036652
2023-02-21,66.06,66.27,65.36,65.55,65.550003,3088371,3088400,-0.51,-0.77203,65.74,"February 21, 23",-0.0077203
2023-02-17,64.93,66.965,64.86,66.63,66.629997,5356558,5356500,1.7,2.62,66.45,"February 17, 23",0.0262
2023-02-16,66.6,66.6338,65.14,65.86,65.18,5312241,5312200,-0.74,-1.11,65.84,"February 16, 23",-0.0111
2023-02-15,66.425,66.785,66.1,66.77,66.080597,3760191,3758800,0.345,0.51938,66.55,"February 15, 23",0.0051938
2023-02-14,67,67.51,66.41,66.65,65.961845,2705541,2705300,-0.35,-0.52239,66.8,"February 14, 23",-0.0052239
2023-02-13,66.8,67.4499,66.8,67.13,66.436882,2345049,2345000,0.33,0.49401,67.16,"February 13, 23",0.0049401
2023-02-10,65.85,66.99,65.64,66.88,66.189461,2592410,2592400,1.03,1.56,66.62,"February 10, 23",0.0156
2023-02-09,66.53,67.22,65.71,65.78,65.100822,3243042,3243000,-0.75,-1.13,66.2,"February 09, 23",-0.0113
2023-02-08,67.31,67.31,65.96,66.45,65.763901,2619714,2619600,-0.86,-1.28,66.47,"February 08, 23",-0.0128
2023-02-07,67.37,67.865,66.52,67.74,67.040588,3226137,3226000,0.37,0.54921,67.34,"February 07, 23",0.0054921
2023-02-06,67.15,67.96,66.9,67.9,67.198936,3000254,3000200,0.75,1.12,67.55,"February 06, 23",0.0112
2023-02-03,68.14,68.27,66.24,67.27,66.575439,3888259,3888200,-0.87,-1.28,67.1,"February 03, 23",-0.0128
2023-02-02,68.79,69.21,67.49,68.62,67.911507,4820599,4820500,-0.17,-0.24713,68.55,"February 02, 23",-0.0024713
2023-02-01,67.49,69.44,67.385,68.86,68.149025,5792397,5792400,1.37,2.03,68.67,"February 01, 23",0.0203
2023-01-31,67.68,67.8,66.87,67.68,66.981209,5420894,5420900,0,0,67.44,"January 31, 23",0
2023-01-30,67.68,68.25,67.42,67.43,66.733788,3498458,3498400,-0.25,-0.36939,67.68,"January 30, 23",-0.0036939
