date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-01-20,361.24,368.38,361.24,368.05,368.05,3045596,3045596,6.81,1.885,365.89,"January 20, 23",0.01885
2023-01-19,360.23,363.79,356.54,361.13,361.13,1150916,1150916,0.9,0.25,360.48667,"January 19, 23",0.0025
2023-01-18,367.72,374.36,363.825,364.1,364.1,1245760,1245760,-3.62,-0.984,367.42833,"January 18, 23",-0.00984
2023-01-17,366.41,369.27,365.14,367.41,367.41,1237533,1237533,1,0.273,367.27333,"January 17, 23",0.00273
2023-01-13,363.95,366.72,362.93,366.38,366.38,1447225,1447225,2.43,0.668,365.34333,"January 13, 23",0.00668
2023-01-12,366,368.64,360.39,367.77,367.77,1186819,1186819,1.77,0.484,365.6,"January 12, 23",0.00484
2023-01-11,356.17,365.27,355.3,364.05,364.05,1596804,1596804,7.88,2.212,361.54,"January 11, 23",0.02212
2023-01-10,349.16,355.4,348,354.39,354.39,927753,927753,5.23,1.498,352.59667,"January 10, 23",0.01498
2023-01-09,351.17,356.48,350.05,350.34,350.34,1699882,1699882,-0.83,-0.236,352.29,"January 09, 23",-0.00236
2023-01-06,339.45,349.3,335.91,347.84,347.84,1781125,1781125,8.39,2.472,344.35,"January 06, 23",0.02472
2023-01-05,338.12,340.3,334.72,336.08,336.08,1148087,1148087,-2.04,-0.603,337.03333,"January 05, 23",-0.00603
2023-01-04,340.44,344.94,337.83,341.62,341.62,1393844,1393844,1.18,0.347,341.46333,"January 04, 23",0.00347
2023-01-03,342.04,343.83,332.14,335.17,335.17,1212952,1212952,-6.87,-2.009,337.04667,"January 03, 23",-0.02009
2022-12-30,335.7,337.67,331.86,334.94,334.94,1102817,1102817,-0.76,-0.226,334.82333,"December 30, 22",-0.00226
2022-12-29,332.02,340.22,331.55,339.81,339.81,968165,968165,7.79,2.346,337.19333,"December 29, 22",0.02346
2022-12-28,331.44,335.025,329.43,329.6,329.6,811097,811097,-1.84,-0.555,331.35167,"December 28, 22",-0.00555
2022-12-27,332.29,333.68,329.77,331.32,331.32,739910,739910,-0.97,-0.292,331.59,"December 27, 22",-0.00292
2022-12-23,329.78,332.96,328.44,332.94,332.94,740054,740054,3.16,0.958,331.44667,"December 23, 22",0.00958
2022-12-22,334.53,334.91,328.4,332.11,332.11,1455429,1455429,-2.42,-0.723,331.80667,"December 22, 22",-0.00723
2022-12-21,335.07,338.01,334.1466,337.45,337.45,1137038,1137038,2.38,0.71,336.53553,"December 21, 22",0.0071
2022-12-20,332.19,334.64,330.75,332.11,332.11,1288297,1288297,-0.08,-0.024,332.5,"December 20, 22",-0.00024
2022-12-19,338.8,339.38,334.85,335.66,335.66,1476622,1476622,-3.14,-0.927,336.63,"December 19, 22",-0.00927
2022-12-16,339.98,341.68,337.72,339.6,339.6,3610418,3610418,-0.38,-0.112,339.66667,"December 16, 22",-0.00112
2022-12-15,348.45,350.3,342.72,344.58,344.58,2007929,2007929,-3.87,-1.111,345.86667,"December 15, 22",-0.01111
2022-12-14,357.49,361.36,350.09,353.84,353.84,1711561,1711561,-3.65,-1.021,355.09667,"December 14, 22",-0.01021
2022-12-13,362.38,366.44,354.59,357.69,357.69,1961285,1961285,-4.69,-1.294,359.57333,"December 13, 22",-0.01294
2022-12-12,346.61,348.43,344.9,347.19,347.19,1814133,1814133,0.58,0.167,346.84,"December 12, 22",0.00167
2022-12-09,351.34,353.03,346.41,346.75,346.75,1502887,1502887,-4.59,-1.306,348.73,"December 09, 22",-0.01306
2022-12-08,350.91,357.21,350.91,352.81,352.81,1160499,1160499,1.9,0.541,353.64333,"December 08, 22",0.00541
2022-12-07,351.6,354.53,349.03,351.52,351.52,1760052,1760052,-0.08,-0.023,351.69333,"December 07, 22",-0.00023
2022-12-06,351.02,352.75,348.47,351.69,351.69,1538470,1538470,0.67,0.191,350.97,"December 06, 22",0.00191
2022-12-05,354.72,357.18,348.44,350.31,350.31,2143947,2143947,-4.41,-1.243,351.97667,"December 05, 22",-0.01243
2022-12-02,356.41,362.05,355.825,359.8,359.8,1983761,1983761,3.39,0.951,359.225,"December 02, 22",0.00951
2022-12-01,356.89,365.8,355.95,362.58,362.58,2649392,2649392,5.69,1.594,361.44333,"December 01, 22",0.01594
2022-11-30,347.13,353.38,340.11,352.8,352.8,5738836,5738836,5.67,1.633,348.76333,"November 30, 22",0.01633
2022-11-29,350.72,351.73,346.39,347.14,347.14,1676377,1676377,-3.58,-1.021,348.42,"November 29, 22",-0.01021
2022-11-28,354.46,357.34,349.94,351.01,351.01,1946476,1946476,-3.45,-0.973,352.76333,"November 28, 22",-0.00973
2022-11-25,355.0499878,358.3099976,352.5299988,357.9100037,357.9100037,763500,763500,2.86002,0.806,356.25,"November 25, 22",0.00806
2022-11-23,353.019989,362.0499878,351.1199951,358.269989,357.4199829,2137500,2137500,4.39999,1.246,356.86332,"November 23, 22",0.01246
2022-11-22,349.3699951,352.4500122,346.25,352.25,351.4142761,1405100,1405100,2.04428,0.585,350.0381,"November 22, 22",0.00585
2022-11-21,343.25,349.2999878,339.0100098,347.4200134,346.5957642,1830600,1830600,3.34576,0.975,344.96859,"November 21, 22",0.00975
2022-11-18,351.9899902,353.1099854,340.4100037,345.8699951,345.049408,1962900,1962900,-6.94058,-1.972,346.1898,"November 18, 22",-0.01972
2022-11-17,348.9400024,349.9899902,343.5299988,346.769989,345.9472656,1288400,1288400,-2.99274,-0.858,346.48908,"November 17, 22",-0.00858
2022-11-16,355.3399963,357.8200073,351.8999939,353.6700134,352.8309326,1390800,1390800,-2.50906,-0.706,354.18364,"November 16, 22",-0.00706
2022-11-15,353.8399963,357.5400085,351.230011,354.6600037,353.818573,1413400,1413400,-0.02142,-0.006,354.1962,"November 15, 22",-6e-05
2022-11-14,348.7399902,352.9700012,346.25,347.6700134,346.8451538,1363600,1363600,-1.89484,-0.543,348.68839,"November 14, 22",-0.00543
2022-11-11,346.0700073,357.730011,346.0700073,356.2000122,355.3549194,2042600,2042600,9.28491,2.683,353.05165,"November 11, 22",0.02683
2022-11-10,330.6900024,347.2900085,329.6499939,346.2099915,345.3886108,2569600,2569600,14.69861,4.445,340.7762,"November 10, 22",0.04445
2022-11-09,318.5499878,319.5,312.6400146,314.1000061,313.3547974,1731500,1731500,-5.19519,-1.631,315.16494,"November 09, 22",-0.01631
2022-11-08,321.1400146,325.25,316.3399963,319.9400024,319.1809387,1210400,1210400,-1.95908,-0.61,320.25698,"November 08, 22",-0.0061
2022-11-07,321.3699951,322.2799988,314.7900085,319.25,318.4925842,1040000,1040000,-2.87741,-0.895,318.52086,"November 07, 22",-0.00895
2022-11-04,313.3099976,318.2200012,309.8500061,316.3999939,315.6493225,1659100,1659100,2.33932,0.747,314.57311,"November 04, 22",0.00747
2022-11-03,305.3099976,311.6400146,305.0499878,309.2999878,308.5661621,1908700,1908700,3.25616,1.067,308.41872,"November 03, 22",0.01067
