date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-09,411.13,412.09,410.6894,410.93,410.929993,48739846,44647065,-0.2,-0.04864641,411.36,"May 09, 23",-0.0004864641
2023-05-08,412.97,413.24,411.28,412.74,412.73999,50046768,50046800,-0.23,-0.05569412,412.51,"May 08, 23",-0.0005569412
2023-05-05,408.91,413.72,408.64,412.63,412.630005,87627791,87844000,3.72,0.90974,411.23,"May 05, 23",0.0090974
2023-05-04,406.93,407.27,403.74,405.13,405.130005,94831863,94901900,-1.8,-0.44234,405.49,"May 04, 23",-0.0044234
2023-05-03,411.36,413.87,407.77,408.02,408.019989,91531769,91531800,-3.34,-0.81194,410.59,"May 03, 23",-0.0081194
2023-05-02,414.77,414.82,407.82,410.84,410.839996,103880184,103998500,-3.93,-0.94751,411.07,"May 02, 23",-0.0094751
2023-05-01,415.47,417.62,415.265,415.51,415.51001,62012504,62122300,0.04,0.00962765,416.21,"May 01, 23",9.62765e-05
2023-04-28,411.49,415.94,411.43,415.93,415.929993,89433137,89335600,4.44,1.08,414.4,"April 28, 23",0.0108
2023-04-27,407,412.69,406.74,412.41,412.410004,92943619,92968400,5.41,1.33,410.1,"April 27, 23",0.0133
2023-04-26,406.72,407.84,403.78,404.36,404.359985,80447049,80447000,-2.36,-0.58025,405.6,"April 26, 23",-0.0058025
2023-04-25,410.58,411.16,406.02,406.08,406.079987,96743071,97766700,-4.5,-1.1,408.29,"April 25, 23",-0.011
2023-04-24,411.99,413.07,410.6,412.63,412.630005,64324595,64332100,0.64,0.15534,412.08,"April 24, 23",0.0015534
2023-04-21,412.19,412.68,410.17,412.2,412.200012,73107422,73436100,0.01,0.00242607,411.76,"April 21, 23",2.42607e-05
2023-04-20,411.21,413.7,410.27,411.88,411.880005,75840359,75840400,0.67,0.16293,412.02,"April 20, 23",0.0016293
2023-04-19,412.22,415.08,412.16,414.14,414.140015,55227330,55227300,1.92,0.46577,413.66,"April 19, 23",0.0046577
2023-04-18,415.58,415.72,412.7802,414.21,414.209991,63550097,63560000,-1.37,-0.32966,414.07,"April 18, 23",-0.0032966
2023-04-17,412.37,413.96,411.085,413.94,413.940002,66321399,66436400,1.57,0.38073,412.59,"April 17, 23",0.0038073
2023-04-14,412.81,415.09,410.06,412.46,412.459991,78155845,78129500,-0.35,-0.08478477,412.26,"April 14, 23",-0.0008478477
2023-04-13,409.18,413.84,407.9922,413.47,413.470001,85785954,85814800,4.29,1.05,411.72,"April 13, 23",0.0105
2023-04-12,411.87,412.17,407.44,408.05,408.049988,86413179,86420400,-3.82,-0.92748,409.71,"April 12, 23",-0.0092748
2023-04-11,410.26,411.18,408.92,409.72,409.720001,59297945,59297900,-0.54,-0.13162,410.02,"April 11, 23",-0.0013162
2023-04-10,406.61,409.69,405.97,409.61,409.609985,63681042,63681000,3,0.73781,408.08,"April 10, 23",0.0073781
2023-04-06,406.77,409.48,405.678,409.19,409.190002,63743345,63743300,2.42,0.59493,408.1,"April 06, 23",0.0059493
2023-04-05,407.91,408.7,405.88,407.6,407.600006,64855243,65200200,-0.31,-0.07599716,407.33,"April 05, 23",-0.0007599716
2023-04-04,411.62,411.92,407.24,408.67,408.670013,66526534,66601500,-2.95,-0.71668,409.19,"April 04, 23",-0.0071668
2023-04-03,408.85,411.37,408.44,410.95,410.950012,67331097,67391100,2.1,0.51364,410.04,"April 03, 23",0.0051364
2023-03-31,404.66,409.7,404.55,409.39,409.390015,112024624,111974600,4.73,1.17,407.26,"March 31, 23",0.0117
2023-03-30,404.09,404.35,401.76,403.7,403.700012,69726849,69840000,-0.39,-0.09651315,403.23,"March 30, 23",-0.0009651315
2023-03-29,399.925,401.6,398.68,401.35,401.350006,77497876,77497900,1.425,0.35632,399.87,"March 29, 23",0.0035632
2023-03-28,395.77,396.49,393.69,395.6,395.600006,62871680,62871700,-0.17,-0.04295424,395.26,"March 28, 23",-0.0004295424
2023-03-27,398.12,398.92,395.56,396.49,396.48999,74010408,74010400,-1.63,-0.40942,396.94,"March 27, 23",-0.0040942
2023-03-24,391.841,395.84,389.4,395.75,395.75,107397124,107682400,3.909,0.9976,393.11,"March 24, 23",0.009976
2023-03-23,395.09,399.29,390.35,393.17,393.170013,119243819,119351300,-1.92,-0.48597,394.58,"March 23, 23",-0.0048597
