date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-09,288.08,288.64,283.56,283.73,283.570007,595562,595562,-4.35,-1.51,285.36,"May 09, 23",-0.0151
2023-05-08,283.2,288.53,282.61,288.27,288.269989,758205,758200,5.07,1.79,286.81,"May 08, 23",0.0179
2023-05-05,285.64,286.975,282.63,284.71,284.709991,1501121,1501100,-0.93,-0.32558,284.42,"May 05, 23",-0.0032558
2023-05-04,284.54,286.61,281.915,284.63,284.630005,1258051,1258100,0.09,0.03163,284.13,"May 04, 23",0.0003163
2023-05-03,295.89,296.37,286.55,287.14,287.140015,1851074,1851000,-8.75,-2.96,288.86,"May 03, 23",-0.0296
2023-05-02,286.68,299.32,284.32,293.89,293.890015,2936954,2937000,7.21,2.51,293.52,"May 02, 23",0.0251
2023-05-01,299.6,301.46,298.6606,299.89,299.890015,2422714,2422700,0.29,0.09679573,299.82,"May 01, 23",0.0009679573
2023-04-28,297.15,299.88,296.69,299.65,299.649994,1337774,1337700,2.5,0.84133,299.33,"April 28, 23",0.0084133
2023-04-27,298.86,299.98,294.34,298.22,298.220001,1230538,1230500,-0.64,-0.21415,296.84,"April 27, 23",-0.0021415
2023-04-26,299.49,300.08,297.3,298.8,298.799988,848072,848100,-0.69,-0.23039,298.78,"April 26, 23",-0.0023039
2023-04-25,301.35,303.37,298.53,299.49,299.48999,1059001,1059000,-1.86,-0.61722,300.26,"April 25, 23",-0.0061722
2023-04-24,304.98,305.44,301.13,302.04,302.040009,1393609,1393600,-2.94,-0.964,302.52,"April 24, 23",-0.00964
2023-04-21,304.66,306.56,301.9,303.54,303.540009,1410888,1465800,-1.12,-0.36762,303.47,"April 21, 23",-0.0036762
2023-04-20,298.65,302.18,297.11,302.1,302.100006,1336245,1336200,3.45,1.16,301.03,"April 20, 23",0.0116
2023-04-19,292.32,302.23,291.61,299.31,299.309998,2020037,2020000,6.99,2.39,299.71,"April 19, 23",0.0239
2023-04-18,294.51,294.54,290.03,290.92,290.920013,1076204,1076200,-3.59,-1.22,291.44,"April 18, 23",-0.0122
2023-04-17,292.02,293.125,290.09,292.78,292.779999,841697,841700,0.76,0.26026,291.93,"April 17, 23",0.0026026
2023-04-14,291.26,292.09,290.29,291.76,291.76001,1235241,1235200,0.5,0.17167,291.51,"April 14, 23",0.0017167
2023-04-13,290.59,291.7,288.81,291.61,291.609985,920096,920100,1.02,0.35101,290.53,"April 13, 23",0.0035101
2023-04-12,292.52,294.07,289.52,290.1,290.100006,1126702,1126700,-2.42,-0.82729,291.74,"April 12, 23",-0.0082729
2023-04-11,289.96,292.2,289.47,290.53,290.529999,792928,792900,0.57,0.19658,290.89,"April 11, 23",0.0019658
2023-04-10,286.06,288.32,284.54,288.24,288.23999,1125529,1125500,2.18,0.76208,287.39,"April 10, 23",0.0076208
2023-04-06,288.07,288.77,286.24,287.68,287.679993,1113434,1113400,-0.39,-0.13538,287.31,"April 06, 23",-0.0013538
2023-04-05,287.25,289.9,286.785,288.03,288.029999,1317759,1317800,0.78,0.27154,288.21,"April 05, 23",0.0027154
2023-04-04,288.29,290.12,285.4,287.1,287.100006,1132749,1132700,-1.19,-0.41278,287.22,"April 04, 23",-0.0041278
2023-04-03,284.35,288.15,280.14,287.56,287.559998,1247816,1247800,3.21,1.13,286.37,"April 03, 23",0.0113
2023-03-31,282.62,285.68,280.93,285.47,285.470001,1881350,1881400,2.85,1.01,284.73,"March 31, 23",0.0101
2023-03-30,280.44,280.9,278.73,280.71,280.709991,887007,887000,0.27,0.09627728,279.92,"March 30, 23",0.0009627728
2023-03-29,278.19,279.8,277.27,279.03,278.279999,1070468,1122500,0.84,0.30195,279.09,"March 29, 23",0.0030195
2023-03-28,277.23,280.13,276.25,277.41,276.664368,824574,824500,0.18,0.06492804,277.95,"March 28, 23",0.0006492804
2023-03-27,279.19,280.31,276.69,278.11,277.362457,861363,861400,-1.08,-0.38683,278.51,"March 27, 23",-0.0038683
2023-03-24,274.15,277.15,272.73,276.69,275.946289,854028,854000,2.54,0.9265,275.79,"March 24, 23",0.009265
2023-03-23,273.13,277.66,271.8188,274.28,273.542755,826348,826300,1.15,0.42104,274.84,"March 23, 23",0.0042104
2023-03-22,278.02,280.52,272.15,272.34,271.607971,1453742,1453700,-5.68,-2.04,275.61,"March 22, 23",-0.0204
2023-03-21,277.29,278.72,275.4,278.12,277.372437,1220447,1220400,0.83,0.29933,277.41,"March 21, 23",0.0029933
2023-03-20,274.27,277.62,273.93,276.83,276.085907,1134599,1135400,2.56,0.93339,276.25,"March 20, 23",0.0093339
2023-03-17,274.82,277.49,273.935,274.44,273.702332,2433415,2433400,-0.38,-0.13827,275.22,"March 17, 23",-0.0013827
2023-03-16,270.17,275.355,267.82,275.21,274.470276,1092517,1092500,5.04,1.87,272.63,"March 16, 23",0.0187
2023-03-15,269.42,273.27,269.3396,273.03,272.296143,1534982,1535000,3.61,1.34,271.82,"March 15, 23",0.0134
2023-03-14,270.65,276.37,268.55,275.69,274.948975,2193289,2193300,5.04,1.86,272.6,"March 14, 23",0.0186
2023-03-13,261.64,270.47,261.63,266.71,265.993103,1430219,1430200,5.07,1.94,267.44,"March 13, 23",0.0194
2023-03-10,267.75,269.54,260.84,264.69,263.978546,1610352,1610300,-3.06,-1.14,264.91,"March 10, 23",-0.0114
2023-03-09,266.93,273.375,266.3,268.35,267.628723,1869250,1869200,1.42,0.53197,270.63,"March 09, 23",0.0053197
2023-03-08,263.46,266.605,262.84,265.59,264.876129,677538,677500,2.13,0.80847,265.42,"March 08, 23",0.0080847
2023-03-07,268.37,269.68,263.6494,264.69,263.978546,897769,897800,-3.68,-1.37,265.58,"March 07, 23",-0.0137
2023-03-06,270.49,271.545,266.86,267.4,266.681244,714800,714800,-3.09,-1.14,268.31,"March 06, 23",-0.0114
2023-03-03,265.08,271.86,263.63,271.53,270.800171,1383423,1383400,6.45,2.43,269.41,"March 03, 23",0.0243
2023-03-02,257.98,262.1,257.66,262.09,261.385529,1395119,1395100,4.11,1.59,260.69,"March 02, 23",0.0159
