date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-01-31,20.16,20.38,20.07,20.37,20.37,36538765,36537173,0.21,1.042,20.27333,"January 31, 23",0.01042
2023-01-30,19.92,20.255,19.89,20.16,20.16,37171954,37169382,0.24,1.205,20.10167,"January 30, 23",0.01205
2023-01-27,19.95,20.1,19.81,19.95,19.95,36840143,36839769,0,0,19.95333,"January 27, 23",0
2023-01-26,20.27,20.32,19.81,20,20,47392298,47390500,-0.27,-1.332,20.04333,"January 26, 23",-0.01332
2023-01-25,19.75,20.48,19.74,20.42,20.42,73450238,73446457,0.67,3.392,20.21333,"January 25, 23",0.03392
2023-01-24,18.97,22.84,18.7,19.16,19.16,32798416,32798371,0.19,1.002,20.23333,"January 24, 23",0.01002
2023-01-23,19.23,19.4,18.98,19.1,19.1,32887430,32886800,-0.13,-0.676,19.16,"January 23, 23",-0.00676
2023-01-20,18.96,19.23,18.77,19.23,19.23,37786038,37784428,0.27,1.424,19.07667,"January 20, 23",0.01424
2023-01-19,18.93,19.02,18.79,18.94,18.94,40173561,40172400,0.01,0.053,18.91667,"January 19, 23",0.00053
2023-01-18,19.29,19.31,18.97,19.02,19.02,31025792,31024300,-0.27,-1.4,19.1,"January 18, 23",-0.014
2023-01-17,19.55,19.57,19.27,19.33,19.33,38793810,38793000,-0.22,-1.125,19.39,"January 17, 23",-0.01125
2023-01-13,19.385,19.59,19.285,19.55,19.55,25466944,25464948,0.165,0.851,19.475,"January 13, 23",0.00851
2023-01-12,19.4799995,19.5699997,19.3700008,19.4099998,19.4099998,31740400,31740400,-0.07,-0.359,19.45,"January 12, 23",-0.00359
2023-01-11,19.4699993,19.4899998,19.25,19.4099998,19.4099998,30010200,30010200,-0.06,-0.308,19.38333,"January 11, 23",-0.00308
2023-01-10,19.3500004,19.4799995,19.2000008,19.4699993,19.4699993,32869500,32869500,0.12,0.62,19.38333,"January 10, 23",0.0062
2023-01-09,19.2399998,19.2399998,18.9799995,19.0400009,19.0400009,51981100,51981100,-0.2,-1.04,19.08667,"January 09, 23",-0.0104
2023-01-06,19.3500004,19.7900009,19.3400002,19.5300007,19.2520008,35990300,35990300,-0.098,-0.506,19.46067,"January 06, 23",-0.00506
2023-01-05,19.1399994,19.3199997,18.9599991,19.2099991,18.936554,31081800,31081800,-0.20345,-1.063,19.07218,"January 05, 23",-0.01063
2023-01-04,18.8700008,19.3700008,18.8099995,19.1399994,18.8675518,43926800,43926800,-0.00245,-0.013,19.01585,"January 04, 23",-0.00013
2023-01-03,18.5100002,18.8500004,18.4099998,18.7399998,18.4732456,42149200,42149200,-0.03675,-0.199,18.57775,"January 03, 23",-0.00199
2022-12-30,18.4200001,18.4799995,18.2199993,18.4099998,18.1479435,26200800,26200800,-0.27206,-1.477,18.28265,"December 30, 22",-0.01477
2022-12-29,18.2700005,18.5499992,18.2399998,18.4500008,18.1873741,23765900,23765900,-0.08263,-0.452,18.32579,"December 29, 22",-0.00452
2022-12-28,18.4500008,18.5499992,18.1900005,18.2199993,17.9606476,26632300,26632300,-0.48935,-2.652,18.23355,"December 28, 22",-0.02652
2022-12-27,18.25,18.5200005,18.2199993,18.4599991,18.1972313,30382500,30382500,-0.05277,-0.289,18.31241,"December 27, 22",-0.00289
2022-12-23,18.1700001,18.3199997,18.1000004,18.3099995,18.049366,25164100,25164100,-0.12063,-0.664,18.15646,"December 23, 22",-0.00664
2022-12-22,18.0100002,18.2800007,17.9200001,18.2700005,18.0099373,32615000,32615000,-6e-05,0,18.06998,"December 22, 22",0
2022-12-21,18.1800003,18.2700005,18.0699997,18.1499996,17.8916435,42316200,42316200,-0.28836,-1.586,18.07721,"December 21, 22",-0.01586
2022-12-20,17.8500004,18.0900002,17.8299999,18.0699997,17.8127823,40922700,40922700,-0.03722,-0.209,17.91093,"December 20, 22",-0.00209
2022-12-19,18.2700005,18.3199997,17.6399994,17.8600006,17.605772,62216900,62216900,-0.66423,-3.636,17.85526,"December 19, 22",-0.03636
2022-12-16,18.3600006,18.5100002,18.2199993,18.4899998,18.2268047,76412500,76412500,-0.1332,-0.725,18.31893,"December 16, 22",-0.00725
2022-12-15,18.6399994,18.8099995,18.3600006,18.4699993,18.2070885,47277400,47277400,-0.43291,-2.322,18.45903,"December 15, 22",-0.02322
2022-12-14,19.0499992,19.1000004,18.7600002,18.8999996,18.6309681,44027700,44027700,-0.41903,-2.2,18.83032,"December 14, 22",-0.022
2022-12-13,19.4099998,19.5,19.0699997,19.1200008,18.8478374,54142100,54142100,-0.56216,-2.896,19.13928,"December 13, 22",-0.02896
2022-12-12,19.1399994,19.3099995,19.0699997,19.2999992,19.0252743,31333500,31333500,-0.11473,-0.599,19.13509,"December 12, 22",-0.00599
2022-12-09,19.0699997,19.3500004,19.0300007,19.0900002,18.818264,29815600,29815600,-0.25174,-1.32,19.06609,"December 09, 22",-0.0132
2022-12-08,19.4300003,19.5200005,19.0200005,19.1200008,18.8478374,45761100,45761100,-0.58216,-2.996,19.12928,"December 08, 22",-0.02996
2022-12-07,19.0499992,19.4200001,19,19.2999992,19.0252743,45381000,45381000,-0.02472,-0.13,19.14842,"December 07, 22",-0.0013
2022-12-06,18.8899994,19.1800003,18.8099995,19.1700001,18.8971252,45858100,45858100,0.00713,0.038,18.96238,"December 06, 22",0.00038
2022-12-05,18.9200001,18.9799995,18.6900005,18.75,18.4831028,28698000,28698000,-0.4369,-2.309,18.7177,"December 05, 22",-0.02309
2022-12-02,19.0499992,19.0599995,18.8600006,19.0200005,18.7492599,33479600,33479600,-0.30074,-1.579,18.88975,"December 02, 22",-0.01579
2022-12-01,19.2900009,19.3999996,19.0900002,19.1900005,18.9168415,31615500,31615500,-0.37316,-1.934,19.13561,"December 01, 22",-0.01934
2022-11-30,18.9400005,19.2800007,18.7999992,19.2800007,19.0055599,59293400,59293400,0.06556,0.346,19.02852,"November 30, 22",0.00346
2022-11-29,18.7900009,19.0300007,18.75,19.0100002,18.7394028,24088000,24088000,-0.0506,-0.269,18.8398,"November 29, 22",-0.00269
2022-11-28,19.1000004,19.1499996,18.7700005,18.8199997,18.5521069,27780200,27780200,-0.54789,-2.869,18.82404,"November 28, 22",-0.02869
2022-11-25,19.1700001,19.2900009,19.0699997,19.1200008,18.8478374,13782700,13782700,-0.32216,-1.681,19.06928,"November 25, 22",-0.01681
2022-11-23,18.9300003,19.1100006,18.8899994,19.0900002,18.818264,21486000,21486000,-0.11174,-0.59,18.93942,"November 23, 22",-0.0059
2022-11-22,18.8999996,19.0400009,18.8899994,19,18.7295456,33771000,33771000,-0.17045,-0.902,18.88652,"November 22, 22",-0.00902
2022-11-21,18.9799995,19.0799999,18.7600002,18.8400002,18.5718231,31911400,31911400,-0.40818,-2.151,18.80394,"November 21, 22",-0.02151
2022-11-18,19.0400009,19.1200008,18.9200001,18.9699993,18.6999702,34211300,34211300,-0.34003,-1.786,18.91332,"November 18, 22",-0.01786
2022-11-17,18.7099991,18.9899998,18.5200005,18.9500008,18.6802578,36007800,36007800,-0.02974,-0.159,18.73009,"November 17, 22",-0.00159
2022-11-16,19,19.0499992,18.7800007,18.9300003,18.6605415,32155400,32155400,-0.33946,-1.787,18.83018,"November 16, 22",-0.01787
2022-11-15,19.1200008,19.3899994,18.8099995,19.0200005,18.7492599,49339300,49339300,-0.37074,-1.939,18.98309,"November 15, 22",-0.01939
2022-11-14,19.0799999,19.3600006,19.0400009,19.0599995,18.7886906,37316500,37316500,-0.29131,-1.527,19.0629,"November 14, 22",-0.01527
2022-11-11,18.8199997,19.1299992,18.7800007,19.0499992,18.7788315,52519500,52519500,-0.04117,-0.219,18.89628,"November 11, 22",-0.00219
2022-11-10,18.8299999,18.9699993,18.5799999,18.8400002,18.5718231,46482700,46482700,-0.25818,-1.371,18.70727,"November 10, 22",-0.01371
2022-11-09,18.4799995,18.7199993,18.3799992,18.3799992,18.1183701,41838400,41838400,-0.36163,-1.957,18.40612,"November 09, 22",-0.01957
2022-11-08,18.3799992,18.7299995,18.2999992,18.5699997,18.305666,43210400,43210400,-0.07433,-0.404,18.44522,"November 08, 22",-0.00404
2022-11-07,18.3400002,18.3999996,18.1499996,18.3600006,18.0986557,39985200,39985200,-0.24134,-1.316,18.21622,"November 07, 22",-0.01316
2022-11-04,18.3400002,18.4099998,18.0900002,18.3199997,18.0592232,39458700,39458700,-0.28078,-1.531,18.18641,"November 04, 22",-0.01531
2022-11-03,18.1700001,18.3299999,18.0699997,18.1700001,17.9113598,41249400,41249400,-0.25864,-1.423,18.10379,"November 03, 22",-0.01423
2022-11-02,18.2700005,18.7999992,18.2700005,18.4300003,18.1676579,49201100,49201100,-0.10234,-0.56,18.41255,"November 02, 22",-0.0056
2022-11-01,18.5699997,18.5799999,18.2399998,18.3500004,18.0887985,48025700,48025700,-0.4812,-2.591,18.30293,"November 01, 22",-0.02591
2022-10-31,18.3500004,18.3899994,18.1299992,18.2299995,17.9705048,47573900,47573900,-0.3795,-2.068,18.1635,"October 31, 22",-0.02068
2022-10-28,18.2800007,18.5900002,18.2299995,18.4799995,18.2169456,55833900,55833900,-0.06306,-0.345,18.34565,"October 28, 22",-0.00345
2022-10-27,18.3500004,18.3500004,17.9899998,18.0300007,17.7733536,53975500,53975500,-0.57665,-3.143,18.03778,"October 27, 22",-0.03143
2022-10-26,17.8500004,18.2399998,17.7600002,18.1399994,17.8817863,65157700,65157700,0.03179,0.178,17.9606,"October 26, 22",0.00178
2022-10-25,17.5300007,17.8899994,17.5,17.6900005,17.4381924,58235100,58235100,-0.09181,-0.524,17.6094,"October 25, 22",-0.00524
2022-10-24,17.4300003,17.8500004,17.3899994,17.5100002,17.2607536,69196500,69196500,-0.16925,-0.971,17.50025,"October 24, 22",-0.00971
2022-10-21,16.8299999,17.3999996,16.7700005,17.1000004,16.8565903,81050700,81050700,0.02659,0.158,17.00886,"October 21, 22",0.00158
2022-10-20,16.2099991,17.1599998,16.1200008,16.7399998,16.5017147,117495700,117495700,0.29172,1.8,16.59391,"October 20, 22",0.018
2022-10-19,15.46,15.7600002,15.3999996,15.54,15.3187962,47349100,47349100,-0.1412,-0.913,15.49293,"October 19, 22",-0.00913
2022-10-18,15.5600004,15.6999998,15.4499998,15.6000004,15.3779421,49420200,49420200,-0.18206,-1.17,15.50931,"October 18, 22",-0.0117
2022-10-17,15.1400003,15.3999996,15.0799999,15.3100004,15.0920706,44240700,44240700,-0.04793,-0.317,15.19069,"October 17, 22",-0.00317
2022-10-14,15.1899996,15.2700005,14.9700003,14.9899998,14.7766247,47185600,47185600,-0.41337,-2.721,15.00554,"October 14, 22",-0.02721
2022-10-13,14.4899998,15.1499996,14.46,15.1199999,14.9047747,60354500,60354500,0.41477,2.862,14.83826,"October 13, 22",0.02862
2022-10-12,14.7600002,14.9399996,14.6199999,14.6300001,14.4217501,46719600,46719600,-0.33825,-2.292,14.66058,"October 12, 22",-0.02292
2022-10-11,14.8500004,14.9099998,14.6800003,14.8100004,14.5991879,49661500,49661500,-0.25081,-1.689,14.72973,"October 11, 22",-0.01689
2022-10-10,15,15.1300001,14.7600002,14.8999996,14.6879063,43852600,43852600,-0.31209,-2.081,14.8593,"October 10, 22",-0.02081
2022-10-07,15.2299995,15.2399998,14.8999996,14.9399996,14.7273369,53446900,53446900,-0.50266,-3.3,14.95578,"October 07, 22",-0.033
2022-10-06,15.6400003,15.8100004,15.3100004,15.3199997,15.1019278,52923900,52923900,-0.53807,-3.44,15.40731,"October 06, 22",-0.0344
2022-10-05,15.9700003,16.1399994,15.7600002,15.9300003,15.4292021,38250100,38250100,-0.5408,-3.386,15.7764,"October 05, 22",-0.03386
2022-10-04,15.9899998,16.1499996,15.8900003,16.0900002,15.5841722,46876200,46876200,-0.40583,-2.538,15.87472,"October 04, 22",-0.02538
2022-10-03,15.7299995,16.1800003,15.6599998,15.8999996,15.4001446,59540500,59540500,-0.32985,-2.097,15.74671,"October 03, 22",-0.02097
2022-09-30,15.5299997,15.6800003,15.3400002,15.3400002,14.8577499,63932700,63932700,-0.67225,-4.329,15.29258,"September 30, 22",-0.04329
2022-09-29,15.6700001,15.75,15.4099998,15.5299997,15.0417767,51308300,51308300,-0.62822,-4.009,15.40059,"September 29, 22",-0.04009
2022-09-28,15.7799997,15.9200001,15.71,15.8299999,15.332346,42670800,42670800,-0.44765,-2.837,15.65412,"September 28, 22",-0.02837
2022-09-27,15.8100004,16.0300007,15.6700001,15.7299995,15.2354889,41183400,41183400,-0.57451,-3.634,15.64516,"September 27, 22",-0.03634
2022-09-26,15.9099998,15.9799995,15.5799999,15.6700001,15.1773758,46841200,46841200,-0.73262,-4.605,15.57913,"September 26, 22",-0.04605
2022-09-23,16.1000004,16.1299992,15.8500004,16.0100002,15.5066872,46225600,46225600,-0.59331,-3.685,15.8289,"September 23, 22",-0.03685
2022-09-22,16.2600002,16.3799992,16.1399994,16.2399998,15.7294559,37800400,37800400,-0.53054,-3.263,16.08315,"September 22, 22",-0.03263
2022-09-21,16.5799999,16.6599998,16.25,16.25,15.7391415,38815600,38815600,-0.84086,-5.072,16.21638,"September 21, 22",-0.05072
2022-09-20,16.6499996,16.6499996,16.4599991,16.5599995,16.0393963,36187500,36187500,-0.6106,-3.667,16.38313,"September 20, 22",-0.03667
2022-09-19,16.6299992,16.8600006,16.5799999,16.7600002,16.2331085,33805300,33805300,-0.39689,-2.387,16.5577,"September 19, 22",-0.02387
2022-09-16,16.6700001,16.8099995,16.5499992,16.7399998,16.2137375,69825900,69825900,-0.45626,-2.737,16.52458,"September 16, 22",-0.02737
2022-09-15,16.8299999,16.9200001,16.6299992,16.7600002,16.2331085,38637300,38637300,-0.59689,-3.547,16.59437,"September 15, 22",-0.03547
2022-09-14,16.8899994,16.9200001,16.7000008,16.7700005,16.242794,41000300,41000300,-0.64721,-3.832,16.62093,"September 14, 22",-0.03832
2022-09-13,17.1800003,17.3199997,16.7800007,16.8299999,16.3009071,42274600,42274600,-0.87909,-5.117,16.8003,"September 13, 22",-0.05117
2022-09-12,17.0699997,17.3999996,17.0300007,17.3799992,16.8336163,43425000,43425000,-0.23638,-1.385,17.08787,"September 12, 22",-0.01385
2022-09-09,16.9200001,17.0699997,16.8600006,17.0300007,16.4946213,55081300,55081300,-0.42538,-2.514,16.80821,"September 09, 22",-0.02514
2022-09-08,16.8600006,16.9300003,16.7000008,16.7700005,16.242794,49770900,49770900,-0.61721,-3.661,16.62427,"September 08, 22",-0.03661
2022-09-07,16.7600002,17.1399994,16.6800003,16.8700008,16.3396511,55566600,55566600,-0.42035,-2.508,16.71988,"September 07, 22",-0.02508
