date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-09,78.3,78.79,77.79,78.59,78.589996,3278077,2587897,0.29,0.37037,78.48,"May 09, 23",0.0037037
2023-05-08,78.89,78.89,78.03,78.36,78.360001,3066573,3066600,-0.53,-0.67182,78.34,"May 08, 23",-0.0067182
2023-05-05,77.64,78.65,77.4,78.5,78.5,3987999,3987900,0.86,1.11,78.27,"May 05, 23",0.0111
2023-05-04,77.75,77.8,76.66,77.07,77.07,2657927,2657900,-0.68,-0.8746,77.07,"May 04, 23",-0.008746
2023-05-03,78.47,78.79,77.78,77.84,77.839996,4199201,4199200,-0.63,-0.80285,78.18,"May 03, 23",-0.0080285
2023-05-02,77.83,78.3,76.57,78.24,78.239998,3652515,3652300,0.41,0.52679,77.62,"May 02, 23",0.0052679
2023-05-01,79.04,79.13,77.971,78.32,78.32,3607573,3607500,-0.72,-0.91093,78.43,"May 01, 23",-0.0091093
2023-04-28,78.89,79.04,78.14,78.82,78.82,3448006,3448000,-0.07,-0.08873114,78.69,"April 28, 23",-0.0008873114
2023-04-27,77.85,78.99,77.85,78.94,78.940002,5083996,5084000,1.09,1.4,78.51,"April 27, 23",0.014
2023-04-26,76.44,77.8951,76.232,77.46,77.459999,5043300,5043300,1.02,1.33,77.33,"April 26, 23",0.0133
2023-04-25,78.31,78.46,76.76,76.84,76.839996,4224491,4275800,-1.47,-1.88,77.32,"April 25, 23",-0.0188
2023-04-24,78.8,78.89,78.14,78.53,78.529999,4041887,4041900,-0.27,-0.34264,78.42,"April 24, 23",-0.0034264
2023-04-21,79.43,79.71,78.36,78.43,78.43,4009576,4009100,-1,-1.26,78.71,"April 21, 23",-0.0126
2023-04-20,77.99,79.205,77.75,79.07,79.07,4634410,4634400,1.08,1.38,78.85,"April 20, 23",0.0138
2023-04-19,77.61,78.04,77.47,78.01,78.010002,2476878,2476900,0.4,0.5154,77.91,"April 19, 23",0.005154
2023-04-18,77.69,78.05,77.43,77.76,77.760002,3087132,3087100,0.07,0.09010169,77.76,"April 18, 23",0.0009010169
2023-04-17,77.45,77.63,76.975,77.61,77.610001,4362217,4362200,0.16,0.20658,77.44,"April 17, 23",0.0020658
2023-04-14,77.22,78.1,76.6,77.19,77.190002,3927092,3927000,-0.03,-0.03885004,77.13,"April 14, 23",-0.0003885004
2023-04-13,77.01,77.43,76.54,77.2,77.199997,5033114,5033000,0.19,0.24672,77.03,"April 13, 23",0.0024672
2023-04-12,78.25,78.51,76.46,76.7,76.699997,4828426,4828400,-1.55,-1.98,77.37,"April 12, 23",-0.0198
2023-04-11,78.73,78.91,77.95,78.34,78.339996,4367213,4367200,-0.39,-0.49536,78.37,"April 11, 23",-0.0049536
2023-04-10,77.44,78.59,77.44,78.38,78.379997,3899147,3899100,0.94,1.21,78.23,"April 10, 23",0.0121
2023-04-06,77.89,78.175,77.38,78.05,78.050003,3086032,3085900,0.16,0.20542,77.91,"April 06, 23",0.0020542
2023-04-05,78.7,78.76,77.86,78.04,78.040001,3893946,3893900,-0.66,-0.83863,78.13,"April 05, 23",-0.0083863
2023-04-04,79.2,79.39,78.56,78.64,78.639999,3102815,3102800,-0.56,-0.70707,78.8,"April 04, 23",-0.0070707
