date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-01-20,142.41,145.5,142.39,145.12,145.12,5711770,5711770,2.71,1.903,144.33667,"January 20, 23",0.01903
2023-01-19,145.18,145.67,143.66,145.14,145.14,5343516,5343516,-0.04,-0.028,144.82333,"January 19, 23",-0.00028
2023-01-18,146.13,147.74,145.51,145.9,145.9,4316479,4316479,-0.23,-0.157,146.38333,"January 18, 23",-0.00157
2023-01-17,149.18,149.18,146.64,146.98,146.98,5482525,5482525,-2.2,-1.475,147.6,"January 17, 23",-0.01475
2023-01-13,149.91,150.5,148.26,149.68,149.68,6544393,6544393,-0.23,-0.153,149.48,"January 13, 23",-0.00153
2023-01-12,147.77,150.09,146.55,149.91,149.91,3954953,3954953,2.14,1.448,148.85,"January 12, 23",0.01448
2023-01-11,149.5,149.845,148.1223,148.8,148.8,4445333,4445333,-0.7,-0.468,148.92243,"January 11, 23",-0.00468
2023-01-10,148.97,149.9,147.74,149.56,149.56,3305899,3305899,0.59,0.396,149.06667,"January 10, 23",0.00396
2023-01-09,148.02,150.23,147.75,148.77,148.77,4924549,4924549,0.75,0.507,148.91667,"January 09, 23",0.00507
2023-01-06,145.79,149.47,145.79,148.57,148.57,6539890,6539890,2.78,1.907,147.94333,"January 06, 23",0.01907
2023-01-05,140.63,145.1,140.16,144.48,144.48,9204352,9204352,3.85,2.738,143.24667,"January 05, 23",0.02738
2023-01-04,140.5,140.98,137.37,139.96,139.96,6894115,6894115,-0.54,-0.384,139.43667,"January 04, 23",-0.00384
2023-01-03,139,140.085,136.28,139.04,139.04,8105643,8105643,0.04,0.029,138.46833,"January 03, 23",0.00029
2022-12-30,138.98,140.1,138.28,140,140,2553325,2553325,1.02,0.734,139.46,"December 30, 22",0.00734
2022-12-29,139.72,140.48,139.115,139.4,139.4,2617404,2617404,-0.32,-0.229,139.665,"December 29, 22",-0.00229
2022-12-28,140.99,141.39,138.81,138.98,138.98,2581980,2581980,-2.01,-1.426,139.72667,"December 28, 22",-0.01426
2022-12-27,140.515,141.5,139.93,140.99,140.99,2679441,2679441,0.475,0.338,140.80667,"December 27, 22",0.00338
2022-12-23,139.51,140.65,138.61,140.02,140.02,1857192,1857192,0.51,0.366,139.76,"December 23, 22",0.00366
2022-12-22,140.57,140.79,137.725,139.53,139.53,3867368,3867368,-1.04,-0.74,139.34833,"December 22, 22",-0.0074
2022-12-21,141.665,142.15,139.5101,141.47,141.47,4170272,4170272,-0.195,-0.138,141.04337,"December 21, 22",-0.00138
2022-12-20,141.99,142.44,140.165,140.34,140.34,3891971,3891971,-1.65,-1.162,140.98167,"December 20, 22",-0.01162
2022-12-19,142.81,144.25,141.26,141.62,141.62,5643306,5643306,-1.19,-0.833,142.37667,"December 19, 22",-0.00833
2022-12-16,138.64,143.13,138.1,142.36,142.36,15118159,15118159,3.72,2.683,141.19667,"December 16, 22",0.02683
2022-12-15,141.97,144.01,139.93,140.2,140.2,6131180,6131180,-1.77,-1.247,141.38,"December 15, 22",-0.01247
2022-12-14,140.78,144.49,140.71,142.36,142.36,7378271,7378271,1.58,1.122,142.52,"December 14, 22",0.01122
2022-12-13,144.73,144.98,140.21,140.58,140.58,9989878,9989878,-4.15,-2.867,141.92333,"December 13, 22",-0.02867
2022-12-12,143.04,143.395,141.05,142.4,142.4,4054418,4054418,-0.64,-0.447,142.28167,"December 12, 22",-0.00447
2022-12-09,143.33,144.13,141.2,141.57,141.57,5216671,5216671,-1.76,-1.228,142.3,"December 09, 22",-0.01228
2022-12-08,148.49,148.49,143.15,143.81,143.81,6602902,6602902,-4.68,-3.152,145.15,"December 08, 22",-0.03152
2022-12-07,150.01,150.73,148.33,148.79,148.79,4646502,4646502,-1.22,-0.813,149.28333,"December 07, 22",-0.00813
2022-12-06,150.61,150.87,148.31,149.39,149.39,3152613,3152613,-1.22,-0.81,149.52333,"December 06, 22",-0.0081
2022-12-05,151.8,152.4,149.9,150.62,150.62,2806232,2806232,-1.18,-0.777,150.97333,"December 05, 22",-0.00777
2022-12-02,149.62,152.55,149.62,152.41,152.41,3046331,3046331,2.79,1.865,151.52667,"December 02, 22",0.01865
2022-12-01,152.26,153.34,150.96,151.81,151.81,3603466,3603466,-0.45,-0.296,152.03667,"December 01, 22",-0.00296
2022-11-30,148.2,151.885,147.665,151.46,151.46,5708037,5708037,3.26,2.2,150.33667,"November 30, 22",0.022
2022-11-29,149.06,149.55,147.82,148.62,148.62,5339355,5339355,-0.44,-0.295,148.66333,"November 29, 22",-0.00295
2022-11-28,151.01,152.21,149.44,149.9,149.9,4909290,4909290,-1.11,-0.735,150.51667,"November 28, 22",-0.00735
2022-11-25,151.17,151.79,150.22,151.05,151.05,1481316,1481316,-0.12,-0.079,151.02,"November 25, 22",-0.00079
2022-11-23,151.05,152.17,149.77,150.12,150.12,2777072,2777072,-0.93,-0.616,150.68667,"November 23, 22",-0.00616
2022-11-22,151.05,152.17,151.01,151.51,151.51,196335,196335,0.46,0.305,151.56333,"November 22, 22",0.00305
2022-11-21,149.44,151.07,148.87,149.88,149.88,5312941,5312941,0.44,0.294,149.94,"November 21, 22",0.00294
2022-11-18,148.805,150.31,148.46,148.83,148.83,3756541,3756541,0.025,0.017,149.2,"November 18, 22",0.00017
2022-11-17,143.26,148.55,143.26,147.77,147.77,4593980,4593980,4.51,3.148,146.52667,"November 17, 22",0.03148
2022-11-16,145.31,147.27,144.64,144.88,144.88,4687552,4687552,-0.43,-0.296,145.59667,"November 16, 22",-0.00296
2022-11-15,147.59,149.16,143.09,145,145,6421842,6421842,-2.59,-1.755,145.75,"November 15, 22",-0.01755
2022-11-14,146.25,147.32,144.66,145.46,145.46,6535642,6535642,-0.79,-0.54,145.81333,"November 14, 22",-0.0054
2022-11-11,149.96,150.14,145.05,146.19,146.19,7576816,7576816,-3.77,-2.514,147.12667,"November 11, 22",-0.02514
2022-11-10,151.89,152,148.14,150.45,150.45,6440864,6440864,-1.44,-0.948,150.19667,"November 10, 22",-0.00948
2022-11-09,149.28,150.44,148.44,148.64,148.64,4849371,4849371,-0.64,-0.429,149.17333,"November 09, 22",-0.00429
2022-11-08,150,150.925,148.415,149.9,149.9,3246699,3246699,-0.1,-0.067,149.74667,"November 08, 22",-0.00067
2022-11-07,149.75,150.42,148.86,149.78,149.78,4860460,4860460,0.03,0.02,149.68667,"November 07, 22",0.0002
2022-11-04,148.5,149.71,146.15,148.83,148.83,7356953,7356953,0.33,0.222,148.23,"November 04, 22",0.00222
2022-11-03,148.81,150.28,148.04,148.17,148.17,4930277,4930277,-0.64,-0.43,148.83,"November 03, 22",-0.0043
2022-11-02,152.575,154.3786,149.98,150.02,150.02,6342226,6342226,-2.555,-1.675,151.45953,"November 02, 22",-0.01675
2022-11-01,152.99,154.14,151.5,152.28,152.28,5502699,5502699,-0.71,-0.464,152.64,"November 01, 22",-0.00464
2022-10-31,150,152.06,147.24,151.56,151.56,8362936,8362936,1.56,1.04,150.28667,"October 31, 22",0.0104
2022-10-28,148,151.93,147.23,151,151,13903675,13903675,3,2.027,150.05333,"October 28, 22",0.02027
2022-10-27,140.2,142.86,140.11,140.63,140.63,7078269,7078269,0.43,0.307,141.2,"October 27, 22",0.00307
2022-10-26,142,142.725,140.5,140.84,140.84,6269972,6269972,-1.16,-0.817,141.355,"October 26, 22",-0.00817
2022-10-25,140,141.895,139.74,140.63,140.63,5728329,5728329,0.63,0.45,140.755,"October 25, 22",0.0045
2022-10-24,137.32,139.83,137.21,139.32,139.32,4117604,4117604,2,1.456,138.78667,"October 24, 22",0.01456
2022-10-21,135.025,136.66,134.88,136.46,136.46,3976005,3976005,1.435,1.063,136,"October 21, 22",0.01063
2022-10-20,135.94,137.2739,134.965,136.02,136.02,4625996,4625996,0.08,0.059,136.0863,"October 20, 22",0.00059
2022-10-19,136.03,136.81,135.37,135.74,135.74,3568573,3568573,-0.29,-0.213,135.97333,"October 19, 22",-0.00213
2022-10-18,136.09,136.68,134.49,136.16,136.16,4169651,4169651,0.07,0.051,135.77667,"October 18, 22",0.00051
2022-10-17,133.23,135.65,133.23,133.84,133.84,5130954,5130954,0.61,0.458,134.24,"October 17, 22",0.00458
2022-10-14,135.11,135.37,131.44,131.52,131.52,5615746,5615746,-3.59,-2.657,132.77667,"October 14, 22",-0.02657
2022-10-13,130.81,134.1045,129.57,133.08,133.08,6342201,6342201,2.27,1.735,132.2515,"October 13, 22",0.01735
2022-10-12,136.56,136.76,132.79,132.94,132.94,6284073,6284073,-3.62,-2.651,134.16333,"October 12, 22",-0.02651
2022-10-11,137.97,138.57,136.85,137.15,137.15,4197321,4197321,-0.82,-0.594,137.52333,"October 11, 22",-0.00594
2022-10-10,137.59,138.86,137.12,137.73,137.73,3785625,3785625,0.14,0.102,137.90333,"October 10, 22",0.00102
2022-10-07,138.92,139.295,137.04,137.59,137.59,4946160,4946160,-1.33,-0.957,137.975,"October 07, 22",-0.00957
2022-10-06,140.4,141.88,138.85,139.42,139.42,4533539,4533539,-0.98,-0.698,140.05,"October 06, 22",-0.00698
2022-10-05,140.3,141.89,138,141.23,141.23,4452864,4452864,0.93,0.663,140.37333,"October 05, 22",0.00663
2022-10-04,139.785,142.69,139.56,142.54,142.54,5649090,5649090,2.755,1.971,141.59667,"October 04, 22",0.01971
2022-10-03,136.26,139.88,136.12,138.9,138.9,5543403,5543403,2.64,1.937,138.3,"October 03, 22",0.01937
2022-09-30,134.95,136.18,133.97,134.17,134.17,6201315,6201315,-0.78,-0.578,134.77333,"September 30, 22",-0.00578
2022-09-29,135.35,135.3749,132.96,134.64,134.64,5603065,5603065,-0.71,-0.525,134.32497,"September 29, 22",-0.00525
2022-09-28,134.455,136.71,133.28,135.52,135.52,5573371,5573371,1.065,0.792,135.17,"September 28, 22",0.00792
2022-09-27,132.32,133.97,131.73,132.68,132.68,4239929,4239929,0.36,0.272,132.79333,"September 27, 22",0.00272
2022-09-26,131.56,133.13,131.02,132.32,132.32,5178012,5178012,0.76,0.578,132.15667,"September 26, 22",0.00578
2022-09-23,133.712,133.712,130.43,132.33,132.33,6074863,6074863,-1.382,-1.034,132.15733,"September 23, 22",-0.01034
2022-09-22,135.98,136.39,134.1,135.05,135.05,4566930,4566930,-0.93,-0.684,135.18,"September 22, 22",-0.00684
2022-09-21,140.29,140.84,136.67,136.77,136.77,4543049,4543049,-3.52,-2.509,138.09333,"September 21, 22",-0.02509
2022-09-20,140.75,141.09,139.3,139.64,139.64,4204573,4204573,-1.11,-0.789,140.01,"September 20, 22",-0.00789
2022-09-19,139,140.83,138.82,140.71,140.71,3709077,3709077,1.71,1.23,140.12,"September 19, 22",0.0123
2022-09-16,138.22,140.59,137.51,139.95,139.95,9607680,9607680,1.73,1.252,139.35,"September 16, 22",0.01252
2022-09-15,141.9,143.05,140.82,141.02,141.02,4374188,4374188,-0.88,-0.62,141.63,"September 15, 22",-0.0062
2022-09-14,139.38,142.165,139.09,141.93,141.93,5717386,5717386,2.55,1.83,141.06167,"September 14, 22",0.0183
2022-09-13,142.49,143.44,137.48,137.74,137.74,6206955,6206955,-4.75,-3.334,139.55333,"September 13, 22",-0.03334
2022-09-12,146.66,146.98,143.41,145.15,145.15,4147902,4147902,-1.51,-1.03,145.18,"September 12, 22",-0.0103
2022-09-09,147.145,147.25,142.43,145.7,145.7,5302947,5302947,-1.445,-0.982,145.12667,"September 09, 22",-0.00982
2022-09-08,145.81,147.52,144.4,145.365,145.365,4297450,4297450,-0.445,-0.305,145.76167,"September 08, 22",-0.00305
2022-09-07,142.8,145.92,142.67,145.5,145.5,3999880,3999880,2.7,1.891,144.69667,"September 07, 22",0.01891
2022-09-06,142.29,143.34,140.95,141.91,141.91,3897866,3897866,-0.38,-0.267,142.06667,"September 06, 22",-0.00267
2022-09-02,144.38,145.76,141.23,141.98,141.98,4497606,4497606,-2.4,-1.662,142.99,"September 02, 22",-0.01662
2022-09-01,143.49,144.8,142.34,143.92,143.92,4493244,4493244,0.43,0.3,143.68667,"September 01, 22",0.003
2022-08-31,145.94,147.2,143.76,143.96,143.96,6215397,6215397,-1.98,-1.357,144.97333,"August 31, 22",-0.01357
2022-08-30,144.59,145.76,143.3104,145.52,145.52,3277941,3277941,0.93,0.643,144.86347,"August 30, 22",0.00643
2022-08-29,142.98,146.57,142.57,144.89,144.89,3056531,3056531,1.91,1.336,144.67667,"August 29, 22",0.01336
2022-08-26,147.09,148.04,142.87,143.02,143.02,4342557,4342557,-4.07,-2.767,144.64333,"August 26, 22",-0.02767
2022-08-25,145.31,147.33,143.79,147.07,147.07,2750172,2750172,1.76,1.211,146.06333,"August 25, 22",0.01211
2022-08-24,143.51,146.5099,142.88,145.33,145.33,4701743,4701743,1.82,1.268,144.90663,"August 24, 22",0.01268
2022-08-23,144.58,145.215,143.74,143.86,143.86,1880368,1880368,-0.72,-0.498,144.27167,"August 23, 22",-0.00498
2022-08-22,145.19,145.9008,144.34,144.58,144.58,3515620,3515620,-0.61,-0.42,144.94027,"August 22, 22",-0.0042
2022-08-19,145.85,146.96,145.4,146.37,146.37,2663335,2663335,0.52,0.357,146.24333,"August 19, 22",0.00357
2022-08-18,145,147.4,144.59,146.86,146.86,3177018,3177018,1.86,1.283,146.28333,"August 18, 22",0.01283
2022-08-17,145.45,146.91,145.25,145.55,145.55,2389255,2389255,0.1,0.069,145.90333,"August 17, 22",0.00069
2022-08-16,145.52,146.91,144.81,146.63,146.63,2925335,2925335,1.11,0.763,146.11667,"August 16, 22",0.00763
2022-08-15,145.99,146.89,145.54,146.69,146.69,2574371,2574371,0.7,0.479,146.37333,"August 15, 22",0.00479
2022-08-12,144.66,146.68,144.39,146.46,146.46,3290540,3290540,1.8,1.244,145.84333,"August 12, 22",0.01244
