date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-01-26,159.965,161.42,154.76,160.27,160.27,232948839,232948839.357746,0.305,0.191,158.81667,"January 26, 23",0.00191
2023-01-25,141.905,146.41,138.07,144.43,144.43,192746008,192734347,2.525,1.779,142.97,"January 25, 23",0.01779
2023-01-24,143,146.5,141.1,143.89,143.89,158710693,158699056,0.89,0.622,143.83,"January 24, 23",0.00622
2023-01-23,135.87,145.3793,134.27,143.75,143.75,203131860,203119211,7.88,5.8,141.1331,"January 23, 23",0.058
2023-01-20,128.68,133.51,127.3466,133.42,133.42,138865433,138858136,4.74,3.684,131.42553,"January 20, 23",0.03684
2023-01-19,127.26,129.99,124.3082,127.17,127.17,170304790,170291880,-0.09,-0.071,127.15607,"January 19, 23",-0.00071
2023-01-18,136.555,136.68,127.01,128.78,128.78,195692321,195680318,-7.775,-5.694,130.82333,"January 18, 23",-0.05694
2023-01-17,125.695,131.7,125.02,131.49,131.49,186487226,186476985,5.795,4.61,129.40333,"January 17, 23",0.0461
2023-01-13,116.55,122.63,115.6,122.4,122.4,180725110,180714119,5.85,5.019,120.21,"January 13, 23",0.05019
2023-01-12,122.56,124.1311,117,123.56,123.56,169415855,169400913,1,0.816,121.5637,"January 12, 23",0.00816
2023-01-11,122.09,125.95,120.51,123.22,123.22,183811782,183810771,1.13,0.926,123.22667,"January 11, 23",0.00926
2023-01-10,121.07,122.76,114.92,118.85,118.85,167649474,167642485,-2.22,-1.834,118.84333,"January 10, 23",-0.01834
2023-01-09,118.96,123.52,117.11,119.77,119.77,190292000,190283951,0.81,0.681,120.13333,"January 09, 23",0.00681
2023-01-06,103,114.39,101.81,113.06,113.06,220926597,220911051,10.06,9.767,109.75333,"January 06, 23",0.09767
2023-01-05,110.51,111.75,107.1601,110.34,110.34,157986325,157986324,-0.17,-0.154,109.75003,"January 05, 23",-0.00154
2023-01-04,109.11,114.59,107.52,113.64,113.64,180402110,180388976,4.53,4.152,111.91667,"January 04, 23",0.04152
2023-01-03,118.47,118.8,104.64,108.1,108.1,231415263,231402818,-10.37,-8.753,110.51333,"January 03, 23",-0.08753
2022-12-30,119.95,124.48,119.75,123.18,123.18,157781159,157777339,3.23,2.693,122.47,"December 30, 22",0.02693
2022-12-29,120.385,123.57,117.495,121.82,121.82,221927841,221923313,1.435,1.192,120.96167,"December 29, 22",0.01192
2022-12-28,110.35,116.27,108.24,112.71,112.71,221073821,221070537,2.36,2.139,112.40667,"December 28, 22",0.02139
2022-12-27,117.495,119.67,108.76,109.1,109.1,208663314,208643444,-8.395,-7.145,112.51,"December 27, 22",-0.07145
2022-12-23,126.37,128.6173,121.02,123.15,123.15,167001275,166989688,-3.22,-2.548,124.26243,"December 23, 22",-0.02548
2022-12-22,136,136.63,122.26,125.35,125.35,210108041,210090250,-10.65,-7.831,128.08,"December 22, 22",-0.07831
2022-12-21,139.335,141.26,135.89,137.57,137.57,145422156,145417412,-1.765,-1.267,138.24,"December 21, 22",-0.01267
2022-12-20,146.05,148.47,137.66,137.8,137.8,159569689,159563267,-8.25,-5.649,141.31,"December 20, 22",-0.05649
2022-12-19,154,155.25,145.82,149.87,149.87,139394072,139390634,-4.13,-2.682,150.31333,"December 19, 22",-0.02682
2022-12-16,159.635,160.99,150.04,150.23,150.23,139045589,139032175,-9.405,-5.892,153.75333,"December 16, 22",-0.05892
2022-12-15,153.44,160.9299,153.28,157.67,157.67,122341915,122334459,4.23,2.757,157.2933,"December 15, 22",0.02757
2022-12-14,159.25,161.62,155.31,156.8,156.8,140682788,140682338,-2.45,-1.538,157.91,"December 14, 22",-0.01538
2022-12-13,174.87,175.05,156.91,160.95,160.95,175863098,175862722,-13.92,-7.96,164.30333,"December 13, 22",-0.0796
2022-12-12,176.1,177.37,167.52,167.82,167.82,109795857,109794471,-8.28,-4.702,170.90333,"December 12, 22",-0.04702
2022-12-09,173.84,182.5,173.36,179.05,179.05,104881202,104872336,5.21,2.997,178.30333,"December 09, 22",0.02997
2022-12-08,172.1999969,175.1999969,169.0599976,173.4400024,173.4400024,97478700,97478700,1.24001,0.72,172.56667,"December 08, 22",0.0072
2022-12-07,175.0299988,179.3800049,172.2200012,174.0399933,174.0399933,84213300,84213300,-0.99001,-0.566,175.21333,"December 07, 22",-0.00566
2022-12-06,181.2200012,183.6499939,175.3300018,179.8200073,179.8200073,92150800,92150800,-1.39999,-0.773,179.6,"December 06, 22",-0.00773
2022-12-05,189.4400024,191.2700043,180.5500031,182.4499969,182.4499969,93122700,93122700,-6.99001,-3.69,184.75667,"December 05, 22",-0.0369
2022-12-02,191.7799988,196.25,191.1100006,194.8600006,194.8600006,73533400,73533400,3.08,1.606,194.07333,"December 02, 22",0.01606
2022-12-01,197.0800018,198.9199982,191.8000031,194.6999969,194.6999969,80046200,80046200,-2.38,-1.208,195.14,"December 01, 22",-0.01208
