date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-09,162.23,163.49,162.01,163,163,5751625,5734623,0.77,0.47463,163.07,"May 09, 23",0.0047463
2023-05-08,165.82,166.6,163.39,164.22,164.220001,3831469,3831300,-1.6,-0.9649,164.44,"May 08, 23",-0.009649
2023-05-05,161.46,166.01,161.21,165.82,165.820007,5488735,5494700,4.36,2.7,164.75,"May 05, 23",0.027
2023-05-04,163.39,163.87,161.36,162.3,161.059998,4270975,4309000,-1.09,-0.66712,162.31,"May 04, 23",-0.0066712
2023-05-03,164.92,165.99,163.27,163.35,162.10199,4398787,4398800,-1.57,-0.95198,164.45,"May 03, 23",-0.0095198
2023-05-02,166.34,167.4883,162.79,163.94,162.687469,7312375,7312400,-2.4,-1.44,164.31,"May 02, 23",-0.0144
2023-05-01,168.21,168.3,166.12,166.68,165.406525,4831344,4831200,-1.53,-0.90958,166.88,"May 01, 23",-0.0090958
2023-04-28,164.85,167.52,164.85,167.2,167.199997,6575445,6574400,2.35,1.43,166.81,"April 28, 23",0.0143
2023-04-27,162.73,165.61,161.1,165.27,165.270004,6697905,6697900,2.54,1.56,164.52,"April 27, 23",0.0156
2023-04-26,170.97,170.97,163.655,164.46,164.460007,8647518,8647500,-6.51,-3.81,165.45,"April 26, 23",-0.0381
2023-04-25,175.59,176.04,169.34,169.39,169.389999,7135959,7136000,-6.2,-3.53,170.63,"April 25, 23",-0.0353
2023-04-24,177.14,177.43,175.3401,175.9,175.899994,3360148,3360100,-1.24,-0.70001,176.1,"April 24, 23",-0.0070001
2023-04-21,175.6,177.56,174.86,177.02,177.020004,6791989,6792000,1.42,0.80866,176.74,"April 21, 23",0.0080866
2023-04-20,174.42,178.31,173.53,176.62,176.619995,4710817,4710800,2.2,1.26,176.49,"April 20, 23",0.0126
2023-04-19,179.13,179.4638,176.96,177.08,177.080002,3093937,3093900,-2.05,-1.14,177.52,"April 19, 23",-0.0114
2023-04-18,181.01,181.73,179.2,180.32,180.320007,2774688,2774700,-0.69,-0.38119,180.19,"April 18, 23",-0.0038119
2023-04-17,178.28,180.55,177.78,180.05,180.050003,2845828,2845800,1.77,0.99282,179.46,"April 17, 23",0.0099282
2023-04-14,178.91,180.54,177.25,178.98,178.979996,2741962,2741900,0.07,0.03912582,178.74,"April 14, 23",0.0003912582
2023-04-13,176.61,179.88,175.45,179.11,179.110001,3264278,3264200,2.5,1.42,178.53,"April 13, 23",0.0142
2023-04-12,181.2,181.2,177.22,177.55,177.550003,3559513,3559400,-3.65,-2.01,178.21,"April 12, 23",-0.0201
2023-04-11,180.74,181.38,179.5,179.87,179.869995,3296864,3296900,-0.87,-0.48135,180.24,"April 11, 23",-0.0048135
2023-04-10,176.95,179.73,176.205,179.42,179.419998,3488605,3488500,2.47,1.4,178.81,"April 10, 23",0.014
2023-04-06,175.97,179.23,174.57,178.12,178.119995,3743004,3743000,2.15,1.22,177.98,"April 06, 23",0.0122
2023-04-05,179.49,179.73,175.12,177.2,177.199997,5904915,5904900,-2.29,-1.28,177.19,"April 05, 23",-0.0128
2023-04-04,184.26,184.67,179.785,180.4,180.399994,4724858,4724800,-3.86,-2.09,181.31,"April 04, 23",-0.0209
2023-04-03,185.33,186.18,182.72,184.16,184.160004,4143112,4143000,-1.17,-0.63131,184,"April 03, 23",-0.0063131
2023-03-31,184.02,186.3,183.12,186.01,186.009995,4793263,4793100,1.99,1.08,185.57,"March 31, 23",0.0108
2023-03-30,182,184.49,181.86,184.24,184.240005,5535754,5535800,2.24,1.23,183.81,"March 30, 23",0.0123
2023-03-29,179.43,181.872,178.96,181.04,181.039993,5227056,5227100,1.61,0.89729,180.78,"March 29, 23",0.0089729
2023-03-28,176.37,177.59,174.25,177.49,177.490005,4061636,4061500,1.12,0.63503,176.26,"March 28, 23",0.0063503
2023-03-27,179.63,179.81,176.41,177.05,177.050003,4453284,4453200,-2.58,-1.44,177.53,"March 27, 23",-0.0144
2023-03-24,179.83,180.49,177.655,179.51,179.509995,5345460,5345400,-0.32,-0.17795,179.17,"March 24, 23",-0.0017795
2023-03-23,178.14,181.89,177.35,180.28,180.279999,5083351,5083300,2.14,1.2,180.12,"March 23, 23",0.012
2023-03-22,177.37,181.48,176.26,176.32,176.320007,4738006,4738000,-1.05,-0.59198,178.7,"March 22, 23",-0.0059198
2023-03-21,179.18,180.66,176.246,178.41,178.410004,4217471,4217500,-0.77,-0.42974,178.32,"March 21, 23",-0.0042974
2023-03-20,175.88,179.87,175.52,179.16,179.160004,4964600,4964600,3.28,1.86,178.6,"March 20, 23",0.0186
2023-03-17,177.88,179.09,174.61,175.71,175.710007,12963340,12963300,-2.17,-1.22,176,"March 17, 23",-0.0122
2023-03-16,173.46,177.68,172.8,177.13,177.130005,5028811,5028500,3.67,2.12,175.94,"March 16, 23",0.0212
2023-03-15,174.23,175.125,171.88,174.39,174.389999,4918346,4918300,0.16,0.09183264,173.74,"March 15, 23",0.0009183264
2023-03-14,175.95,176.2,172.83,175.73,175.729996,5034839,5034600,-0.22,-0.12504,175.17,"March 14, 23",-0.0012504
2023-03-13,170.18,175.83,169.91,173.89,173.889999,5453565,5453400,3.71,2.18,173.85,"March 13, 23",0.0218
2023-03-10,175,175.27,170.98,171.64,171.639999,5929653,5925100,-3.36,-1.92,172.25,"March 10, 23",-0.0192
2023-03-09,176.36,177.91,172.98,173.44,173.440002,4651329,4651200,-2.92,-1.66,174.68,"March 09, 23",-0.0166
2023-03-08,173.605,176.36,173.045,176.22,176.220001,3805624,3805400,2.615,1.51,175.47,"March 08, 23",0.0151
2023-03-07,172.77,174,171.15,172.06,172.059998,3844102,3844100,-0.71,-0.41095,172.15,"March 07, 23",-0.0041095
2023-03-06,175.29,176.5,172.8,173.05,173.050003,4090107,4090100,-2.24,-1.28,174.08,"March 06, 23",-0.0128
2023-03-03,175,175.95,172.5,175.68,175.679993,4379301,4379200,0.68,0.38857,175.01,"March 03, 23",0.0038857
2023-03-02,171.13,174.92,170.11,174.08,174.080002,4551116,4551100,2.95,1.72,172.7,"March 02, 23",0.0172
2023-03-01,171.04,172.43,169.81,172.17,172.169998,4649847,4649800,1.13,0.66066,171.83,"March 01, 23",0.0066066
