date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-01-31,498,505.5,493.13,499.19,499.19,5492021,5491998,1.19,0.239,499.27333,"January 31, 23",0.00239
2023-01-30,487.81,495.25,484.8,485.79,485.79,3602853,3602800,-2.02,-0.414,488.61333,"January 30, 23",-0.00414
2023-01-27,493.37,493.37,484.47,486.05,486.05,3177286,3177132,-7.32,-1.484,487.96333,"January 27, 23",-0.01484
2023-01-26,492.5,496.45,490.5801,492.48,492.48,3005240,3004962,-0.02,-0.004,493.17003,"January 26, 23",-4e-05
2023-01-25,489.28,495.36,485.73,492.5,492.5,3037522,3037315,3.22,0.658,491.19667,"January 25, 23",0.00658
2023-01-24,500.26,500.26,436.51,491.6,491.6,3035529,3035455,-8.66,-1.731,476.12333,"January 24, 23",-0.01731
2023-01-23,486.68,490.1,481.39,485.81,485.81,3417262,3417100,-0.87,-0.179,485.76667,"January 23, 23",-0.00179
2023-01-20,485.53,486.99,479,486.72,486.72,3526157,3525905,1.19,0.245,484.23667,"January 20, 23",0.00245
2023-01-19,477.87,486.39,477.39,484.36,484.36,4549248,4549000,6.49,1.358,482.71333,"January 19, 23",0.01358
2023-01-18,488.05,489.5,474.75,476.24,476.24,4398447,4398196,-11.81,-2.42,480.16333,"January 18, 23",-0.0242
2023-01-17,491.2,492.94,483.78,485.08,485.08,4495837,4495565,-6.12,-1.246,487.26667,"January 17, 23",-0.01246
2023-01-13,486.11,509.5,486,489.57,489.57,5390294,5390067,3.46,0.712,495.02333,"January 13, 23",0.00712
2023-01-12,490,498.73,485.22,495.67,495.67,3726933,3726800,5.67,1.157,493.20667,"January 12, 23",0.01157
2023-01-11,485.29,495.6,485,493.4,493.4,4274543,4274212,8.11,1.671,491.33333,"January 11, 23",0.01671
2023-01-10,488.85,490.47,482.68,486,486,3140630,3140394,-2.85,-0.583,486.38333,"January 10, 23",-0.00583
2023-01-09,492.41,499.99,488.54,490.06,490.06,3702152,3702000,-2.35,-0.477,492.86333,"January 09, 23",-0.00477
2023-01-06,491.59,492.87,487.5401,490,490,4841528,4841278,-1.59,-0.323,490.1367,"January 06, 23",-0.00323
2023-01-05,501.01,502.09,488.5,489.96,489.96,5497649,5497123,-11.05,-2.206,493.51667,"January 05, 23",-0.02206
2023-01-04,518.64,518.64,500.6,504.5,504.5,5070788,5070439,-14.14,-2.726,507.91333,"January 04, 23",-0.02726
2023-01-03,525.13,525.63,512.1601,518.64,518.64,3525947,3525627,-6.49,-1.236,518.81003,"January 03, 23",-0.01236
2022-12-30,530,530.5,524.84,530.18,530.18,1849762,1849605,0.18,0.034,528.50667,"December 30, 22",0.00034
2022-12-29,532.54,533.68,528.86,529.88,529.88,1379776,1379681,-2.66,-0.499,530.80667,"December 29, 22",-0.00499
2022-12-28,535.07,538.15,527.734,528.45,528.45,1694426,1694377,-6.62,-1.237,531.44467,"December 28, 22",-0.01237
2022-12-27,533.93,535.84,529.845,531.99,531.99,1596773,1596719,-1.94,-0.363,532.55833,"December 27, 22",-0.00363
2022-12-23,524.1,531.31,522.895,531.31,531.31,1292364,1292327,7.21,1.376,528.505,"December 23, 22",0.01376
2022-12-22,526.48,529.01,521.63,527.09,527.09,1852694,1852690,0.61,0.116,525.91,"December 22, 22",0.00116
2022-12-21,523.63,527.8799,518.1,527.54,527.54,2182221,2182136,3.91,0.747,524.50663,"December 21, 22",0.00747
2022-12-20,526.99,526.99,519.7,520.21,520.21,2086417,2086249,-6.78,-1.287,522.3,"December 20, 22",-0.01287
2022-12-19,524.6,527.21,520.93,523.6,523.6,1806752,1806700,-1,-0.191,523.91333,"December 19, 22",-0.00191
2022-12-16,525.15,525.81,515.72,523.7,523.7,7109629,7109084,-1.45,-0.276,521.74333,"December 16, 22",-0.00276
2022-12-15,533.99,534.07,525.47,527.68,527.68,2964571,2964503,-6.31,-1.182,529.07333,"December 15, 22",-0.01182
2022-12-14,541.93,543.48,531.57,538.36,538.36,2654665,2654614,-3.57,-0.659,537.80333,"December 14, 22",-0.00659
2022-12-13,550.56,550.99,535.1,538.22,538.22,3369954,3369673,-12.34,-2.241,541.43667,"December 13, 22",-0.02241
