date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-09,198.94,200.695,197.83,200.59,200.589996,1606729,1535780,1.65,0.8294,199.9,"May 09, 23",0.008294
2023-05-08,202.49,202.83,199.5,199.94,199.940002,1973045,1973000,-2.55,-1.26,200.35,"May 08, 23",-0.0126
2023-05-05,198.7,202.5,198.14,201.23,201.229996,2065019,2065000,2.53,1.27,201.03,"May 05, 23",0.0127
2023-05-04,195.41,197.395,194.0316,197.06,197.059998,1866347,1866300,1.65,0.84438,196.33,"May 04, 23",0.0084438
2023-05-03,197.18,198.07,195.26,195.33,195.330002,2017445,2017400,-1.85,-0.93823,196.34,"May 03, 23",-0.0093823
2023-05-02,197.45,197.92,192.99,196.07,196.070007,2693796,2693800,-1.38,-0.69891,195.35,"May 02, 23",-0.0069891
2023-05-01,195.53,199.87,195.53,198.63,198.630005,2195008,2195000,3.1,1.59,198.65,"May 01, 23",0.0159
2023-04-28,192.87,197.12,192.87,195.7,195.699997,1814933,1810100,2.83,1.47,195.81,"April 28, 23",0.0147
2023-04-27,191.25,193.78,190.45,193.54,193.539993,2287459,2287500,2.29,1.2,192.54,"April 27, 23",0.012
2023-04-26,193.58,194.37,190.37,191.5,191.5,2377528,2377500,-2.08,-1.07,192.13,"April 26, 23",-0.0107
2023-04-25,198.09,199.54,194.135,194.75,194.75,2594380,2594400,-3.34,-1.69,195.33,"April 25, 23",-0.0169
2023-04-24,197.92,201.7,197.3413,200.28,200.279999,2723705,2723700,2.36,1.19,200.18,"April 24, 23",0.0119
2023-04-21,202.99,203.73,198.16,198.85,198.850006,6029405,6010400,-4.14,-2.04,199.23,"April 21, 23",-0.0204
2023-04-20,202.39,207.82,201.42,202.6,202.600006,2989244,2989200,0.21,0.10376,203.27,"April 20, 23",0.0010376
2023-04-19,198.09,202.21,198.09,202,202,2619794,2619800,3.91,1.97,201.13,"April 19, 23",0.0197
2023-04-18,200.7,201.98,199.03,199.47,199.470001,2388104,2388100,-1.23,-0.61286,199.99,"April 18, 23",-0.0061286
2023-04-17,199.65,202.68,198.45,200.04,200.039993,2740855,2740800,0.39,0.19534,199.96,"April 17, 23",0.0019534
2023-04-14,198.13,199.64,197.37,198.53,198.529999,1947985,1947800,0.4,0.20189,198.44,"April 14, 23",0.0020189
2023-04-13,198.89,199.7,196.73,197.92,197.919998,2894415,2894400,-0.97,-0.48771,197.83,"April 13, 23",-0.0048771
2023-04-12,199.76,200.69,198.23,198.73,198.729996,2315454,2315400,-1.03,-0.51562,199.13,"April 12, 23",-0.0051562
2023-04-11,199.44,200.06,198.51,198.9,198.899994,3597985,3598000,-0.54,-0.27076,199.17,"April 11, 23",-0.0027076
2023-04-10,197.18,199.2999,197.09,198.37,198.369995,2401952,2402000,1.19,0.60351,198.37,"April 10, 23",0.0060351
2023-04-06,194.6,198.69,194.0933,198.64,198.639999,3280101,3280000,4.04,2.08,197.7,"April 06, 23",0.0208
2023-04-05,195.13,196.3,194.07,194.21,194.210007,2382265,2382200,-0.92,-0.47148,194.69,"April 05, 23",-0.0047148
2023-04-04,199.38,199.725,195.06,195.88,195.880005,3556701,3556700,-3.5,-1.76,197.09,"April 04, 23",-0.0176
2023-04-03,200.92,201.93,197.99,199.54,199.539993,1908433,1908400,-1.38,-0.68684,199.35,"April 03, 23",-0.0068684
2023-03-31,198.87,201.385,198.65,201.26,201.259995,3422593,3422600,2.39,1.2,200.18,"March 31, 23",0.012
2023-03-30,200.36,201.45,197.5,198.36,198.360001,3050708,3050700,-2,-0.9982,198.85,"March 30, 23",-0.009982
2023-03-29,198.47,199.87,197.48,199.09,199.089996,3152243,3152100,0.62,0.31239,198.81,"March 29, 23",0.0031239
2023-03-28,193.23,197.465,193.23,196.58,196.580002,5635275,5635300,3.35,1.73,196.54,"March 28, 23",0.0173
2023-03-27,190.62,193.72,190.17,193.23,193.229996,3666756,3666800,2.61,1.37,192.6,"March 27, 23",0.0137
2023-03-24,184.14,188.56,183.85,188.51,188.509995,4263667,4263600,4.37,2.37,186.54,"March 24, 23",0.0237
2023-03-23,186.01,187.8508,183.69,186.2,186.199997,3849782,3854900,0.19,0.10215,185.78,"March 23, 23",0.0010215
2023-03-22,188.56,190.18,185.67,185.72,185.720001,3325512,3325400,-2.84,-1.51,188.02,"March 22, 23",-0.0151
2023-03-21,191.41,192.7,188.38,189.54,189.539993,3339047,3338900,-1.87,-0.97696,189.89,"March 21, 23",-0.0097696
2023-03-20,190.12,191.845,188.99,189.69,189.690002,2956844,2956800,-0.43,-0.22617,190.11,"March 20, 23",-0.0022617
2023-03-17,193.34,193.34,187.73,190.01,190.009995,11852820,11852800,-3.33,-1.72,189.88,"March 17, 23",-0.0172
2023-03-16,191.08,193.6,189.14,192.91,192.910004,6357226,6357200,1.83,0.95771,191.58,"March 16, 23",0.0095771
2023-03-15,191.17,193.07,189.395,192.04,192.039993,5749675,5749600,0.87,0.45509,191.18,"March 15, 23",0.0045509
2023-03-14,196.87,199.7,192.63,195.15,195.149994,3168876,3168900,-1.72,-0.87367,195.95,"March 14, 23",-0.0087367
2023-03-13,194.62,199.15,193.73,195.1,195.100006,2764313,2774700,0.48,0.24663,196.38,"March 13, 23",0.0024663
2023-03-10,198.88,203.09,195.18,196.06,196.059998,3909532,3909500,-2.82,-1.42,198.52,"March 10, 23",-0.0142
2023-03-09,204.82,204.82,199.42,199.57,199.570007,3342106,3342100,-5.25,-2.56,201.82,"March 09, 23",-0.0256
2023-03-08,204.49,205.145,201.46,203.57,203.570007,2980839,2980800,-0.92,-0.4499,203.11,"March 08, 23",-0.004499
2023-03-07,207.43,207.7,204.65,205.4,205.399994,3897988,3898000,-2.03,-0.97864,205.78,"March 07, 23",-0.0097864
2023-03-06,209.56,210.81,207.84,208.83,208.830002,2300367,2300400,-0.73,-0.34835,208.93,"March 06, 23",-0.0034835
2023-03-03,212.01,212.88,208,209.36,209.360001,3665921,3665800,-2.65,-1.25,209.23,"March 03, 23",-0.0125
2023-03-02,206.65,212.16,206.26,211.36,211.360001,2813075,2812900,4.71,2.28,210.15,"March 02, 23",0.0228
2023-03-01,206.09,210.15,205.98,207.99,207.990005,2775151,2775200,1.9,0.92193,208.3,"March 01, 23",0.0092193
2023-02-28,210.53,211.4,206.61,207.28,207.279999,6091169,6091200,-3.25,-1.54,208.54,"February 28, 23",-0.0154
2023-02-27,213.925,214.8,209.771,212.17,212.169998,12140437,12140400,-1.755,-0.82038,212.1,"February 27, 23",-0.0082038
2023-02-24,191.3,194.59,190.32,194.02,192.720001,3371368,3371400,2.72,1.42,192.92,"February 24, 23",0.0142
2023-02-23,192.63,193.66,190.74,193.32,192.024704,3125450,3125400,0.69,0.3582,192.35,"February 23, 23",0.003582
2023-02-22,193.66,194.49,190.08,191.38,190.097687,5815964,5816000,-2.28,-1.18,192.14,"February 22, 23",-0.0118
2023-02-21,199.41,200.17,193.68,193.75,192.451813,4462390,4462300,-5.66,-2.84,195.8,"February 21, 23",-0.0284
2023-02-17,198.82,201.65,198.5576,201.59,200.239273,7063859,7063800,2.77,1.39,200.43,"February 17, 23",0.0139
2023-02-16,199.68,203.04,199.45,200.52,199.176453,3375082,3375000,0.84,0.42067,201.31,"February 16, 23",0.0042067
2023-02-15,201.61,203.12,199.42,203.11,201.7491,2880025,2880000,1.5,0.74401,201.84,"February 15, 23",0.0074401
2023-02-14,205.86,205.925,201.6,204.03,202.662933,2171928,2174600,-1.83,-0.88895,203.73,"February 14, 23",-0.0088895
2023-02-13,204.92,208.94,204.53,206.05,204.669403,4095466,4095400,1.13,0.55143,206.55,"February 13, 23",0.0055143
2023-02-10,202.22,206.1,201.76,205.5,204.123077,2599968,2599900,3.28,1.62,204.68,"February 10, 23",0.0162
2023-02-09,208.14,208.64,202.45,202.81,201.451096,2989953,2989900,-5.33,-2.56,204.29,"February 09, 23",-0.0256
2023-02-08,208.37,209.58,206.52,207.14,205.75209,1805093,1805100,-1.23,-0.5903,207.52,"February 08, 23",-0.005903
2023-02-07,207.04,210.38,206.56,209.04,207.639359,2067646,2067500,2,0.966,208.55,"February 07, 23",0.00966
2023-02-06,209.02,210.375,208.07,208.96,207.559906,1665617,1665600,-0.06,-0.02870539,209.26,"February 06, 23",-0.0002870539
2023-02-03,210.57,212.875,209.59,210.29,208.880981,2142139,2142100,-0.28,-0.13297,210.64,"February 03, 23",-0.0013297
2023-02-02,208,214.8903,206.95,213.41,211.980087,3445976,3446000,5.41,2.6,212.33,"February 02, 23",0.026
2023-02-01,203.21,209.1,202.62,207.93,206.536789,3080126,3080100,4.72,2.32,205.95,"February 01, 23",0.0232
2023-01-31,200.11,204.21,199.64,204.19,202.821854,2958732,2958700,4.08,2.04,202.83,"January 31, 23",0.0204
2023-01-30,200.85,203.935,200,200.2,198.858597,2617604,2617500,-0.65,-0.32362,201.39,"January 30, 23",-0.0032362
2023-01-27,201.65,203.845,200.66,202.39,201.03392,3429453,3429400,0.74,0.36697,202.48,"January 27, 23",0.0036697
2023-01-26,198.47,201.6,194.5,201.48,200.130005,4207024,4207000,3.01,1.52,198.6,"January 26, 23",0.0152
2023-01-25,200.96,201.69,197.03,200.12,198.779129,4163884,4163900,-0.84,-0.41799,199.59,"January 25, 23",-0.0041799
2023-01-24,223.44,235.2,201,203.18,201.818619,4461562,4462600,-20.26,-9.07,203.82,"January 24, 23",-0.0907
2023-01-23,209.32,212.97,208.02,210.13,208.722061,3155615,3155600,0.81,0.38697,210.53,"January 23, 23",0.0038697
2023-01-20,205.86,208.72,203.53,208.66,207.261917,5344028,5344000,2.8,1.36,207.69,"January 20, 23",0.0136
2023-01-19,207.61,209.215,205.49,205.5,204.123077,3065607,3065600,-2.11,-1.02,206.55,"January 19, 23",-0.0102
2023-01-18,214.65,215.81,209.2,209.48,208.076416,2719595,2719400,-5.17,-2.41,211.12,"January 18, 23",-0.0241
2023-01-17,214.47,216.955,212.45,214.31,212.874054,2186165,2186200,-0.16,-0.07460251,214.74,"January 17, 23",-0.0007460251
2023-01-13,212.91,214.12,212.16,213.23,211.801285,1693498,1693500,0.32,0.1503,213.05,"January 13, 23",0.001503
2023-01-12,215.31,216.245,212.07,214.69,213.251511,2034572,2034600,-0.62,-0.28796,214.6,"January 12, 23",-0.0028796
2023-01-11,213.24,214.67,212.13,214.26,212.824387,1840537,1840500,1.02,0.47833,213.73,"January 11, 23",0.0047833
2023-01-10,211.38,212.38,209.87,212.28,210.857651,1225298,1225300,0.9,0.42577,211.68,"January 10, 23",0.0042577
2023-01-09,212.19,215.88,211.1,211.46,210.043152,2259504,2259500,-0.73,-0.34403,212.96,"January 09, 23",-0.0034403
2023-01-06,206.8,212.55,206,212.01,210.589462,3375200,3375200,5.21,2.52,210.92,"January 06, 23",0.0252
2023-01-05,207.73,208.68,202.76,203.08,201.719299,2317577,2317500,-4.65,-2.24,204.3,"January 05, 23",-0.0224
2023-01-04,208.09,210.21,207.57,209.24,207.838028,1830877,1830900,1.15,0.55265,209.1,"January 04, 23",0.0055265
2023-01-03,207.29,207.87,205.13,207.58,206.189148,1766261,1766300,0.29,0.1399,206.91,"January 03, 23",0.001399
2022-12-30,207.67,208.99,204.675,207.07,205.682571,1554192,1554200,-0.6,-0.28892,206.74,"December 30, 22",-0.0028892
2022-12-29,208.04,210.36,207.14,209.22,207.818161,1484796,1484800,1.18,0.5672,209.31,"December 29, 22",0.005672
2022-12-28,210.23,211.23,206.78,206.87,205.483902,1631188,1631200,-3.36,-1.6,208.78,"December 28, 22",-0.016
2022-12-27,210.46,211.4471,208.85,210.32,208.910797,1139698,1139700,-0.14,-0.06652095,210.42,"December 27, 22",-0.0006652095
2022-12-23,208.2,210.745,208.2,209.91,208.50354,1639486,1639500,1.71,0.82133,209.69,"December 23, 22",0.0082133
2022-12-22,207.03,208.68,205.1352,208.66,207.261917,2399255,2399300,1.63,0.78733,207.55,"December 22, 22",0.0078733
2022-12-21,207.46,209.15,206.72,208.42,207.023514,2756387,2756400,0.96,0.46274,208.36,"December 21, 22",0.0046274
2022-12-20,206.46,207.02,203.673,205.41,204.033691,4081886,4081900,-1.05,-0.50857,205.53,"December 20, 22",-0.0050857
2022-12-19,210.2,210.41,204.75,206.39,205.007111,2355271,2355300,-3.81,-1.81,207.09,"December 19, 22",-0.0181
2022-12-16,208.55,210.75,206.645,210.21,208.801529,5194324,5194100,1.66,0.79597,209.62,"December 16, 22",0.0079597
2022-12-15,214.76,215.11,210.7622,212.31,209.596161,3373406,3373200,-2.45,-1.14,212.33,"December 15, 22",-0.0114
2022-12-14,219.32,221.71,216.36,217.58,214.798798,2749841,2749800,-1.74,-0.79336,218.65,"December 14, 22",-0.0079336
2022-12-13,220.9,221.45,215.85,218.02,215.233185,3585150,3585000,-2.88,-1.3,218.55,"December 13, 22",-0.013
2022-12-12,212.64,215.9,210.77,215.83,213.071167,3017615,3017500,3.19,1.5,213.5,"December 12, 22",0.015
2022-12-09,212.4,213.05,211.05,211.35,208.648438,2334478,2334400,-1.05,-0.49435,211.63,"December 09, 22",-0.0049435
2022-12-08,212.73,214.56,211.54,213.03,210.306961,1585388,1585400,0.3,0.14102,213.07,"December 08, 22",0.0014102
2022-12-07,211,214.79,210.59,212.22,209.507309,2828743,2828600,1.22,0.5782,212.58,"December 07, 22",0.005782
2022-12-06,211.53,213.2267,208.7,211.14,208.441116,3097620,3097600,-0.39,-0.18437,210.45,"December 06, 22",-0.0018437
2022-12-05,212.94,213.55,210.41,211.06,208.362137,2504481,2504500,-1.88,-0.88288,211.38,"December 05, 22",-0.0088288
2022-12-02,213.74,215.84,213.2,214.73,211.985214,1759997,1760000,0.99,0.46318,214.61,"December 02, 22",0.0046318
2022-12-01,219.16,219.16,214.89,215.93,213.169876,2638443,2638400,-3.23,-1.47,215.84,"December 01, 22",-0.0147
2022-11-30,212.72,218.95,210.71,217.43,214.650711,5173079,5173000,4.71,2.21,215.82,"November 30, 22",0.0221
2022-11-29,208.96,213.24,208.11,212.77,210.050293,2280770,2280600,3.81,1.82,211.78,"November 29, 22",0.0182
2022-11-28,211.23,212.43,207.68,208.52,205.854614,2755386,2755400,-2.71,-1.28,209.59,"November 28, 22",-0.0128
2022-11-25,213,215.42,212.48,213.33,210.603119,1101944,1101900,0.33,0.15493,214.19,"November 25, 22",0.0015493
2022-11-23,212.69,213.2342,210.57,212.52,209.803482,2405280,2405000,-0.17,-0.07992853,212.02,"November 23, 22",-0.0007992853
2022-11-22,213.57,217.73,212.82,213.2,210.474777,2962536,2962500,-0.37,-0.17325,213.85,"November 22, 22",-0.0017325
2022-11-21,209.9,213.34,208.2,212.27,209.556671,2365469,2365400,2.37,1.13,211.73,"November 21, 22",0.0113
2022-11-18,211.61,212.19,209.295,210.58,207.88829,2477551,2499500,-1.03,-0.48674,210.58,"November 18, 22",-0.0048674
2022-11-17,210.63,212.35,207.01,209.82,207.137985,4561638,4561400,-0.81,-0.38456,209.57,"November 17, 22",-0.0038456
2022-11-16,211.15,213.19,210.48,212.27,209.556671,3864580,3864600,1.12,0.53043,212.02,"November 16, 22",0.0053043
2022-11-15,217.81,219.065,208.74,210.66,207.967255,6235236,6235200,-7.15,-3.28,212.26,"November 15, 22",-0.0328
2022-11-14,216.85,221.46,216.29,216.95,214.176849,3945919,3999000,0.1,0.04611483,219.08,"November 14, 22",0.0004611483
2022-11-11,216.11,219.56,214.76,217.5,214.719818,5176484,5176500,1.39,0.64319,217.59,"November 11, 22",0.0064319
2022-11-10,210.88,213.19,209.09,212.99,210.267471,4923461,4923400,2.11,1,211.86,"November 10, 22",0.01
2022-11-09,203.51,204.54,201.94,203.41,200.809937,4682776,4682700,-0.1,-0.04913763,203.11,"November 09, 22",-0.0004913763
2022-11-08,198.15,205.12,197.765,204.01,201.402252,6285142,6285100,5.86,2.96,202.08,"November 08, 22",0.0296
2022-11-07,198.5,198.5,195.47,196.3,193.790817,3757786,3757800,-2.2,-1.11,196.53,"November 07, 22",-0.0111
2022-11-04,195.56,197.78,194.18,196.7,194.185684,3334012,3334000,1.14,0.58294,196.41,"November 04, 22",0.0058294
2022-11-03,190.28,195.21,190.22,193.19,190.720566,3238902,3238800,2.91,1.53,193.84,"November 03, 22",0.0153
2022-11-02,196.35,198.9473,192.16,192.53,190.069,3019993,3020000,-3.82,-1.95,195.2,"November 02, 22",-0.0195
2022-11-01,197.2,198.005,193.57,196.82,194.304169,3042352,3042400,-0.38,-0.1927,195.98,"November 01, 22",-0.001927
2022-10-31,198.57,198.61,195.04,197.14,194.620071,3130344,3130300,-1.43,-0.72015,197.18,"October 31, 22",-0.0072015
2022-10-28,196.62,198.84,195.1236,198.65,196.110764,3724245,3724100,2.03,1.03,197.46,"October 28, 22",0.0103
2022-10-27,197.25,199.93,195.58,196.04,193.534119,3148244,3148200,-1.21,-0.61343,197.43,"October 27, 22",-0.0061343
2022-10-26,197.2,198.2393,194.39,195.78,193.277451,4134841,4134600,-1.42,-0.72008,196.52,"October 26, 22",-0.0072008
