date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-09,172.87,173.795,172.15,173.01,173.009995,2180478,2180009,0.14,0.08098571,173.05,"May 09, 23",0.0008098571
2023-05-08,175.91,176.36,173.6,174.39,174.389999,2589144,2589100,-1.52,-0.86408,174.53,"May 08, 23",-0.0086408
2023-05-05,175.175,176.285,173.8,175.74,175.740005,2775271,2775300,0.565,0.32253,175.16,"May 05, 23",0.0032253
2023-05-04,174.55,174.9406,172.86,173.29,173.289993,3495232,3495100,-1.26,-0.72186,173.55,"May 04, 23",-0.0072186
2023-05-03,177.5,178,175.5,175.83,175.830002,3825246,3825200,-1.67,-0.94085,176.44,"May 03, 23",-0.0094085
2023-05-02,180.7,180.77,177.68,177.84,177.839996,3527750,3527800,-2.86,-1.58,178.6,"May 02, 23",-0.0158
2023-05-01,179.95,182.69,179.67,182.2,182.199997,2807893,2807800,2.25,1.25,182.07,"May 01, 23",0.0125
2023-04-28,176.84,180.48,176.51,179.81,179.809998,3440757,3439900,2.97,1.68,179.54,"April 28, 23",0.0168
2023-04-27,172.76,178.16,172.19,177.76,177.759995,4679013,4679000,5,2.89,176.19,"April 27, 23",0.0289
2023-04-26,175.23,177.0585,172.13,172.57,172.570007,5845607,5845600,-2.66,-1.52,173.68,"April 26, 23",-0.0152
2023-04-25,182.67,183,176.22,176.29,176.289993,12474851,12474900,-6.38,-3.49,178.06,"April 25, 23",-0.0349
2023-04-24,195.36,197.31,194.725,195.85,195.850006,3689112,3689100,0.49,0.25082,195.96,"April 24, 23",0.0025082
2023-04-21,194.87,196.5,193.61,195.21,195.210007,3371885,3371700,0.34,0.17448,195.2,"April 21, 23",0.0017448
2023-04-20,195.87,197.8,194.12,194.98,194.979996,3319293,3336300,-0.89,-0.45438,195.59,"April 20, 23",-0.0045438
2023-04-19,194.28,196.22,194.11,196.03,196.029999,2652204,2652200,1.75,0.90076,195.75,"April 19, 23",0.0090076
2023-04-18,193.58,194.67,192.88,194.12,194.119995,2461589,2461400,0.54,0.27895,193.81,"April 18, 23",0.0027895
2023-04-17,193.22,194.38,192.58,193.29,193.289993,1920462,1920500,0.07,0.03622813,193.24,"April 17, 23",0.0003622813
2023-04-14,191,193.02,190.25,192.87,192.869995,2034960,2034900,1.87,0.97906,192.37,"April 14, 23",0.0097906
2023-04-13,190.92,191.5951,188.54,191,191,2355589,2355600,0.08,0.04190237,190.72,"April 13, 23",0.0004190237
2023-04-12,192.5,194.04,189.02,189.85,189.850006,3729104,3729000,-2.65,-1.38,191.23,"April 12, 23",-0.0138
2023-04-11,190.5,193.1,189.59,192.45,192.449997,2844581,2844400,1.95,1.02,192.3,"April 11, 23",0.0102
2023-04-10,187.42,190.55,186.78,190.26,190.259995,2158050,2157900,2.84,1.52,189.75,"April 10, 23",0.0152
2023-04-06,188.33,189.56,186.53,188.58,188.580002,2206234,2206100,0.25,0.13275,188.43,"April 06, 23",0.0013275
2023-04-05,189.84,191.885,189.35,189.4,189.399994,2718297,2718300,-0.44,-0.23177,190.19,"April 05, 23",-0.0023177
