date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-01-20,221.14,224.43,220.41,224.31,224.31,4107639,4107639,3.17,1.433,223.05,"January 20, 23",0.01433
2023-01-19,218.1,221.52,217.5,220.41,220.41,4853562,4853562,2.31,1.059,219.81,"January 19, 23",0.01059
2023-01-18,224.08,224.99,219.44,219.46,219.46,6558233,6558233,-4.62,-2.062,221.29667,"January 18, 23",-0.02062
2023-01-17,222.38,224.4,222.37,223,223,6101639,6101639,0.62,0.279,223.25667,"January 17, 23",0.00279
2023-01-13,221.91,223.755,220.14,223.06,223.06,4283218,4283218,1.15,0.518,222.31833,"January 13, 23",0.00518
2023-01-12,222.1,223.81,220.61,223.62,223.62,4264697,4264697,1.52,0.684,222.68,"January 12, 23",0.00684
2023-01-11,221.29,222.18,219.7,222.1,222.1,5408432,5408432,0.81,0.366,221.32667,"January 11, 23",0.00366
2023-01-10,218.99,222.39,218.18,221.09,221.09,10857588,10857588,2.1,0.959,220.55333,"January 10, 23",0.00959
2023-01-09,219.07,222.21,218.35,218.6,218.6,6293727,6293727,-0.47,-0.215,219.72,"January 09, 23",-0.00215
2023-01-06,214,218.14,213.09,217.75,217.75,6830277,6830277,3.75,1.752,216.32667,"January 06, 23",0.01752
2023-01-05,213.8,214.16,210.46,211.11,211.11,5246594,5246594,-2.69,-1.258,211.91,"January 05, 23",-0.01258
2023-01-04,209.62,213.2,209.62,212.61,212.61,6606329,6606329,2.99,1.426,211.81,"January 04, 23",0.01426
2023-01-03,209.28,212.325,206.16,207.39,207.39,4203198,4203198,-1.89,-0.903,208.625,"January 03, 23",-0.00903
2022-12-30,206.31,208.04,205.7,207.76,207.76,4159489,4159489,1.45,0.703,207.16667,"December 30, 22",0.00703
2022-12-29,205.95,208.53,205.5,208.06,208.06,3675701,3675701,2.11,1.025,207.36333,"December 29, 22",0.01025
2022-12-28,206.68,208.53,204.8,204.99,204.99,3138789,3138789,-1.69,-0.818,206.10667,"December 28, 22",-0.00818
2022-12-27,205.92,206.88,204.6,206.29,206.29,2905153,2905153,0.37,0.18,205.92333,"December 27, 22",0.0018
2022-12-23,204.13,206.24,203.5154,205.83,205.83,3246180,3246180,1.7,0.833,205.19513,"December 23, 22",0.00833
2022-12-22,205.75,206.6499939,202.1300049,205.0599976,205.0599976,5690300,5690300,-0.69,-0.335,204.61333,"December 22, 22",-0.00335
2022-12-21,206.5700073,207.9600067,205.5800018,206.8099976,206.8099976,4086900,4086900,0.23999,0.116,206.78334,"December 21, 22",0.00116
2022-12-20,203.8800049,206.5299988,203.5500031,205.3600006,205.3600006,5024900,5024900,1.48,0.726,205.14667,"December 20, 22",0.00726
2022-12-19,206.6300049,207.4700012,203.9499969,204.8200073,204.8200073,4893600,4893600,-1.81,-0.876,205.41334,"December 19, 22",-0.00876
2022-12-16,207.4900055,208.3999939,205.3000031,206.8899994,206.8899994,12472900,12472900,-0.60001,-0.289,206.86333,"December 16, 22",-0.00289
2022-12-15,209.6000061,211.8200073,206.8200073,207.9100037,207.9100037,10831800,10831800,-1.69,-0.806,208.85001,"December 15, 22",-0.00806
2022-12-14,212.8500061,216.2799988,211.6300049,213.3200073,213.3200073,7001700,7001700,0.47,0.221,213.74334,"December 14, 22",0.00221
2022-12-13,219.5399933,219.9799957,212.6199951,213.0399933,213.0399933,14585000,14585000,-6.5,-2.961,215.21333,"December 13, 22",-0.02961
2022-12-12,210,214.8200073,209.4700012,214.5899963,214.5899963,5941700,5941700,4.59,2.186,212.96,"December 12, 22",0.02186
2022-12-09,207.9100037,210.5200043,207.5200043,208.6999969,208.6999969,4928400,4928400,0.78999,0.38,208.91334,"December 09, 22",0.0038
2022-12-08,209.5099945,210.3000031,207.75,209.1000061,209.1000061,4896500,4896500,-0.40999,-0.196,209.05,"December 08, 22",-0.00196
2022-12-07,208.8000031,209.0200043,205.1300049,207.8099976,207.8099976,7923800,7923800,-0.99001,-0.474,207.32,"December 07, 22",-0.00474
2022-12-06,212,212.1300049,207.6399994,209.0800018,209.0800018,5986000,5986000,-2.92,-1.377,209.61667,"December 06, 22",-0.01377
2022-12-05,215.6499939,216.9100037,213.0500031,213.6799927,213.6799927,9006300,9006300,-1.97,-0.914,214.54667,"December 05, 22",-0.00914
2022-12-02,215.7299957,218.4799957,214.2400055,217.6600037,217.6600037,5131900,5131900,1.93001,0.895,216.79333,"December 02, 22",0.00895
2022-12-01,217,218.6499939,215.3000031,217,217,11261500,11261500,0,0,216.98333,"December 01, 22",0
2022-11-30,208.2200012,217,208.0099945,217,217,13918100,13918100,8.78,4.217,214.00333,"November 30, 22",0.04217
2022-11-29,209.3500061,210.1499939,207.3500061,209.0599976,209.0599976,8986900,8986900,-0.29001,-0.139,208.85333,"November 29, 22",-0.00139
2022-11-28,212.2599945,214.4700012,210.6499939,211.2599945,211.2599945,10229400,10229400,-1,-0.471,212.12666,"November 28, 22",-0.00471
2022-11-25,211.7100067,214,211.3899994,213.7899933,213.7899933,1993500,1993500,2.07999,0.982,213.06,"November 25, 22",0.00982
2022-11-23,210,212.8300018,209.9199982,211.7299957,211.7299957,3807300,3807300,1.73,0.824,211.49333,"November 23, 22",0.00824
2022-11-22,207.5399933,210.4799957,205.3500061,210.3300018,210.3300018,5273100,5273100,2.79001,1.344,208.72,"November 22, 22",0.01344
2022-11-21,210.3000031,210.5500031,205.8899994,206.3200073,206.3200073,10450900,10450900,-3.98,-1.893,207.58667,"November 21, 22",-0.01893
2022-11-18,213.1699982,214.1699982,209.7400055,210.8000031,210.8000031,8028500,8028500,-2.37,-1.112,211.57,"November 18, 22",-0.01112
