date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-09,343.29,346.49,342.66,344.83,344.829987,853963,828864,1.54,0.4486,344.42,"May 09, 23",0.004486
2023-05-08,347.62,347.93,340.79,344.09,344.089996,707937,707900,-3.53,-1.02,344.2,"May 08, 23",-0.0102
2023-05-05,346.89,350.54,345.01,348.09,348.089996,1119456,1119400,1.2,0.34593,348.26,"May 05, 23",0.0034593
2023-05-04,347.97,349.13,345.01,346.59,346.589996,927893,927800,-1.38,-0.39659,346.79,"May 04, 23",-0.0039659
2023-05-03,349.28,352.23,342.34,346.36,346.359985,1226436,1226400,-2.92,-0.83601,348.13,"May 03, 23",-0.0083601
2023-05-02,345,354.46,344.39,346.03,346.029999,2002041,2002000,1.03,0.29855,348.12,"May 02, 23",0.0029855
2023-05-01,340.22,345.69,339.78,345,345,1489026,1489000,4.78,1.4,343.78,"May 01, 23",0.014
2023-04-28,338.5,346.29,338.35,340.73,340.730011,1455487,1455400,2.23,0.65879,342.12,"April 28, 23",0.0065879
2023-04-27,324.5,340.22,324.4974,339.37,339.369995,2518646,2518600,14.87,4.58,335.58,"April 27, 23",0.0458
2023-04-26,326.5,327.23,316.43,323.3,323.299988,1572707,1572700,-3.2,-0.98009,321.83,"April 26, 23",-0.0098009
2023-04-25,334.5,336.25,331.18,331.93,331.929993,842401,842200,-2.57,-0.76831,333.05,"April 25, 23",-0.0076831
2023-04-24,331.05,333.855,329.84,332.84,332.839996,597054,597000,1.79,0.5407,332.68,"April 24, 23",0.005407
2023-04-21,330.89,335.28,330.25,331.09,331.089996,925003,925000,0.2,0.06044305,332.35,"April 21, 23",0.0006044305
2023-04-20,326.79,330.47,326.68,329.15,329.149994,812316,812200,2.36,0.72218,328.86,"April 20, 23",0.0072218
2023-04-19,326.79,330.145,325.19,328.45,328.450012,796366,796400,1.66,0.50797,328.12,"April 19, 23",0.0050797
2023-04-18,327.995,328,323.38,325.15,325.149994,957527,957500,-2.845,-0.86739,325.03,"April 18, 23",-0.0086739
2023-04-17,335,335,327.09,327.74,327.73999,1044932,1044700,-7.26,-2.17,328.97,"April 17, 23",-0.0217
2023-04-14,332.96,334.175,331.365,333.52,333.519989,927303,931000,0.56,0.16819,332.89,"April 14, 23",0.0016819
2023-04-13,326.97,334.09,326.01,333.35,333.350006,1259455,1259300,6.38,1.95,331.1,"April 13, 23",0.0195
2023-04-12,324.36,327.98,323.98,326.37,326.369995,988804,988800,2.01,0.61968,326.54,"April 12, 23",0.0061968
2023-04-11,324.17,324.97,321.4,324.83,324.829987,649781,649800,0.66,0.2036,324.07,"April 11, 23",0.002036
2023-04-10,320.48,323.45,318.02,323.24,323.23999,665739,665700,2.76,0.86121,321.76,"April 10, 23",0.0086121
2023-04-06,321.41,324.65,321.13,321.66,321.660004,912017,912000,0.25,0.07778227,322.34,"April 06, 23",0.0007778227
