date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-01-26,40.38,40.57,39.93,40.27,40.27,17233003,17233003.3603539,-0.11,-0.272,40.25667,"January 26, 23",-0.00272
2023-01-25,40.54,41.09,39.91,40.33,40.33,26516457,26514900,-0.21,-0.518,40.44333,"January 25, 23",-0.00518
2023-01-24,38.69,44.73,32.76,40.42,40.42,32138267,32138100,1.73,4.471,39.30333,"January 24, 23",0.04471
2023-01-23,39.99,40.34,39.42,39.63,39.63,34211767,34208800,-0.36,-0.9,39.79667,"January 23, 23",-0.009
2023-01-20,40.04,40.12,39.46,40,40,23152181,23151900,-0.04,-0.1,39.86,"January 20, 23",-0.001
2023-01-19,39.71,40.28,39.47,40.06,40.06,24813267,24811800,0.35,0.881,39.93667,"January 19, 23",0.00881
2023-01-18,40.86,40.86,39.8241,39.97,39.97,22955344,22954177,-0.89,-2.178,40.21803,"January 18, 23",-0.02178
2023-01-17,41.85,41.92,40.79,40.85,40.85,28689795,28689400,-1,-2.389,41.18667,"January 17, 23",-0.02389
2023-01-13,41.65,41.915,41.37,41.86,41.86,17230216,17229808,0.21,0.504,41.715,"January 13, 23",0.00504
2023-01-12,41.3800011,41.9500008,41.1199989,41.8100014,41.8100014,16980300,16980300,0.43,1.039,41.62667,"January 12, 23",0.01039
2023-01-11,42.1399994,42.1800003,41.0200005,41.1800003,41.1800003,20674800,20674800,-0.96,-2.278,41.46,"January 11, 23",-0.02278
2023-01-10,41.3600006,41.9799995,41.1699982,41.9500008,41.9500008,16695300,16695300,0.59,1.426,41.7,"January 10, 23",0.01426
2023-01-09,41.3800011,41.6699982,41.3100014,41.3699989,41.3699989,23062200,23062200,-0.01,-0.024,41.45,"January 09, 23",-0.00024
2023-01-06,41.9199982,42.5800018,41.8800011,42.1899986,41.5369987,25995400,25995400,-0.383,-0.914,41.999,"January 06, 23",-0.00914
