date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-01-27,45.81,46.365,45.81,46.12,46.12,15988903,15988903.9370754,0.31,0.677,46.09833,"January 27, 23",0.00677
2023-01-26,45.53,45.9,45.16,45.81,45.81,16724694,16723600,0.28,0.615,45.62333,"January 26, 23",0.00615
2023-01-25,44.05,45.42,44.03,45.34,45.34,17268012,17267800,1.29,2.928,44.93,"January 25, 23",0.02928
2023-01-24,44.91,45.2,38.1,44.45,44.45,13691956,13690700,-0.46,-1.024,42.58333,"January 24, 23",-0.01024
2023-01-23,43.94,45.18,43.87,45.03,45.03,19690137,19688600,1.09,2.481,44.69333,"January 23, 23",0.02481
2023-01-20,43.08,43.94,42.76,43.92,43.92,23228041,23227300,0.84,1.95,43.54,"January 20, 23",0.0195
2023-01-19,42.91,43.2,42.52,42.95,42.95,18562463,18561200,0.04,0.093,42.89,"January 19, 23",0.00093
2023-01-18,43.96,44.61,43.3,43.38,43.38,20270725,20270300,-0.58,-1.319,43.76333,"January 18, 23",-0.01319
2023-01-17,43.84,44.37,43.18,44.12,44.12,25470931,25468900,0.28,0.639,43.89,"January 17, 23",0.00639
2023-01-13,41.38,44.36,40.46,44.22,44.22,41648530,41645300,2.84,6.863,43.01333,"January 13, 23",0.06863
2023-01-12,43.05,43.55,42.8,42.83,42.83,20916262,20914400,-0.22,-0.511,43.06,"January 12, 23",-0.00511
2023-01-11,42.38,42.83,42.02,42.74,42.74,18269907,18268900,0.36,0.849,42.53,"January 11, 23",0.00849
2023-01-10,42.67,42.88,42.02,42.36,42.36,18339351,18337800,-0.31,-0.727,42.42,"January 10, 23",-0.00727
2023-01-09,43.12,43.13,42.16,42.39,42.39,21224255,21224200,-0.73,-1.693,42.56,"January 09, 23",-0.01693
2023-01-06,42.59,43,42.1,42.8,42.8,15235053,15234500,0.21,0.493,42.63333,"January 06, 23",0.00493
2023-01-05,42.58,42.63,41.93,42.42,42.42,12380209,12379700,-0.16,-0.376,42.32667,"January 05, 23",-0.00376
