date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-01-30,115.09,115.485,113.1519,113.56,113.56,18515767,18515200,-1.53,-1.329,114.06563,"January 30, 23",-0.01329
2023-01-27,116.95,117.67,115.39,115.61,115.61,15105333,15104122,-1.34,-1.146,116.22333,"January 27, 23",-0.01146
2023-01-26,114.72,117.78,114.335,117.76,117.76,21018297,21017249,3.04,2.65,116.625,"January 26, 23",0.0265
2023-01-25,113.23,113.65,111.39,113.21,113.21,11911843,11911700,-0.02,-0.018,112.75,"January 25, 23",-0.00018
2023-01-24,109.16,114.02,99.23,113.81,113.81,13583602,13583025,4.65,4.26,109.02,"January 24, 23",0.0426
2023-01-23,113.64,114.59,112.64,112.76,112.76,16579568,16579000,-0.88,-0.774,113.33,"January 23, 23",-0.00774
2023-01-20,111.36,113.44,110.61,113.35,113.35,16482680,16481400,1.99,1.787,112.46667,"January 20, 23",0.01787
2023-01-19,110.07,112.13,109.58,111.32,111.32,12926743,12926400,1.25,1.136,111.01,"January 19, 23",0.01136
2023-01-18,113.26,114.12,110.3987,110.61,110.61,16022897,16021738,-2.65,-2.34,111.70957,"January 18, 23",-0.0234
2023-01-17,113.41,114.08,112.67,112.93,112.93,16543278,16542201,-0.48,-0.423,113.22667,"January 17, 23",-0.00423
2023-01-13,113.11,113.49,112.16,113.15,113.15,12011734,12011358,0.04,0.035,112.93333,"January 13, 23",0.00035
2023-01-12,111.82,113.74,111.74,113.22,113.22,15357637,15357321,1.4,1.252,112.9,"January 12, 23",0.01252
2023-01-11,110.99,111.45,109.085,111.37,111.37,16519552,16518581,0.38,0.342,110.635,"January 11, 23",0.00342
2023-01-10,109.79,110.33,108.01,110.09,110.09,15092340,15091000,0.3,0.273,109.47667,"January 10, 23",0.00273
2023-01-09,111.64,111.64,107.81,108.47,108.47,17965629,17964591,-3.17,-2.839,109.30667,"January 09, 23",-0.02839
2023-01-06,110.08,111.99,109.67,110.53,110.53,16348392,16348131,0.45,0.409,110.73,"January 06, 23",0.00409
2023-01-05,106.34,109.95,106.31,109.21,109.21,15946858,15946559,2.87,2.699,108.49,"January 05, 23",0.02699
2023-01-04,104.8,107.155,104.76,106.82,106.82,18059654,18058396,2.02,1.927,106.245,"January 04, 23",0.01927
2023-01-03,109.78,110.02,105.49,106.51,106.51,15147122,15146168,-3.27,-2.979,107.34,"January 03, 23",-0.02979
2022-12-30,108.61,110.5,108.61,110.3,110.3,11800434,11799640,1.69,1.556,109.80333,"December 30, 22",0.01556
2022-12-29,107.99,109.72,107.99,109.2,109.2,10534622,10534028,1.21,1.12,108.97,"December 29, 22",0.0112
2022-12-28,109.91,110,107.902,108.38,108.38,10702549,10702075,-1.53,-1.392,108.76067,"December 28, 22",-0.01392
2022-12-27,109.27,110.465,108.83,110.19,110.19,11962424,11962058,0.92,0.842,109.82833,"December 27, 22",0.00842
2022-12-23,106.95,108.74,106.9,108.68,108.68,11539665,11539448,1.73,1.618,108.10667,"December 23, 22",0.01618
2022-12-22,107.89,108.19,104.1,105.88,105.88,13216104,13215496,-2.01,-1.863,106.05667,"December 22, 22",-0.01863
2022-12-21,108.29,108.585,107.16,108.06,108.06,13565722,13565365,-0.23,-0.212,107.935,"December 21, 22",-0.00212
2022-12-20,105.17,107.51,105.07,106.69,106.69,14680657,14680004,1.52,1.445,106.42333,"December 20, 22",0.01445
2022-12-19,105.26,106.2,104.38,105.17,105.17,13611965,13611124,-0.09,-0.086,105.25,"December 19, 22",-0.00086
2022-12-16,103.69,105.58,103.1301,104.7,104.7,54602070,54596623,1.01,0.974,104.47003,"December 16, 22",0.00974
2022-12-15,105.33,106.17,103.7,105.44,105.44,15369311,15367888,0.11,0.104,105.10333,"December 15, 22",0.00104
2022-12-14,107.99,108.3,105.75,106.46,106.46,17598513,17597334,-1.53,-1.417,106.83667,"December 14, 22",-0.01417
2022-12-13,107.8,108.54,107.02,107.25,107.25,24307620,24305345,-0.55,-0.51,107.60333,"December 13, 22",-0.0051
2022-12-12,103.83,106.24,103.585,106.09,106.09,20414184,20413173,2.26,2.177,105.305,"December 12, 22",0.02177
2022-12-09,104.59,105.95,103.3,103.54,103.54,21298986,21298194,-1.05,-1.004,104.26333,"December 09, 22",-0.01004
2022-12-08,106.28,106.795,103.71,104.42,104.42,21129333,21128762,-1.86,-1.75,104.975,"December 08, 22",-0.0175
2022-12-07,103.78,104.8548,102.37,103.65,103.65,20061914,20061729,-0.13,-0.125,103.62493,"December 07, 22",-0.00125
2022-12-06,105.9,107.04,103.145,103.88,103.88,21197973,21196977,-2.02,-1.907,104.68833,"December 06, 22",-0.01907
2022-12-05,110.7,111.36,105.94,106.85,106.85,19289528,19287746,-3.85,-3.478,108.05,"December 05, 22",-0.03478
2022-12-02,109.51,111.71,109.2,109.86,109.86,15248584,15248385,0.35,0.32,110.25667,"December 02, 22",0.0032
2022-12-01,111.64,112.07,110.18,110.8,110.8,14398716,14398314,-0.84,-0.752,111.01667,"December 01, 22",-0.00752
2022-11-30,111.54,111.9,109.78,111.34,111.34,23159629,23158059,-0.2,-0.179,111.00667,"November 30, 22",-0.00179
2022-11-29,110.61,111.8,109.792,110.54,110.54,14453613,14453174,-0.07,-0.063,110.71067,"November 29, 22",-0.00063
2022-11-28,110.66,111.46,109.62,109.81,109.81,23019354,23017671,-0.85,-0.768,110.29667,"November 28, 22",-0.00768
2022-11-25,113.88,114.61,113.06,113.21,113.21,7136261,7136013,-0.67,-0.588,113.62667,"November 25, 22",-0.00588
2022-11-23,112.32,113.9488,112.1,113.61,113.61,11547000,11546685,1.29,1.149,113.2196,"November 23, 22",0.01149
2022-11-22,112.32,113.9488,112.11,113.057,113.057,2777179,2777179,0.737,0.656,113.0386,"November 22, 22",0.00656
2022-11-21,109.99,111.2041,107.48,110.97,110.97,20973376,20972978,0.98,0.891,109.8847,"November 21, 22",0.00891
2022-11-18,110.9,112.48,109.61,112.08,112.08,15416208,15415025,1.18,1.064,111.39,"November 18, 22",0.01064
2022-11-17,111.29,113.2,110.75,113.06,113.06,12436264,12435740,1.77,1.59,112.33667,"November 17, 22",0.0159
2022-11-16,113.44,114.2599,111.86,112.91,112.91,13591754,13590973,-0.53,-0.467,113.00997,"November 16, 22",-0.00467
2022-11-15,113.8,114.53,112.87,114.13,114.13,19375133,19373750,0.33,0.29,113.84333,"November 15, 22",0.0029
2022-11-14,112.6299973,114.6399994,112.4899979,113.3700027,113.3700027,20848300,20848300,0.74001,0.657,113.5,"November 14, 22",0.00657
2022-11-11,112.5800018,114.5,112.4899979,113.9499969,113.0400009,20515100,20515100,0.46,0.409,113.34333,"November 11, 22",0.00409
2022-11-10,110.1900024,110.6999969,107.5699997,110.5,109.6175537,20146700,20146700,-0.57245,-0.52,109.29585,"November 10, 22",-0.0052
2022-11-09,113.0999985,113.2799988,108.5699997,108.9000015,108.0303345,19522800,19522800,-5.06966,-4.482,109.96011,"November 09, 22",-0.04482
2022-11-08,113.4800034,114.6600037,112.5999985,114,113.0895996,14661000,14661000,-0.3904,-0.344,113.44987,"November 08, 22",-0.00344
2022-11-07,112.4100037,113.9899979,112.1299973,113.6399994,112.7324753,16008000,16008000,0.32247,0.287,112.95082,"November 07, 22",0.00287
2022-11-04,113,113.5,110.8000031,112.3099976,111.4130936,17534600,17534600,-1.58691,-1.404,111.90437,"November 04, 22",-0.01404
2022-11-03,108.5800018,111.8199997,108.3099976,111.0999985,110.2127609,17103700,17103700,1.63276,1.504,110.11425,"November 03, 22",0.01504
